American Indian or Alaska Native (AI/AN),Asian American,Black,Latino,Multi-race,Native Hawaiian or Other Pacific Islander (NHPI),White,Other,Unknown,County,Date Updated,Date Data,Date Scraped
0.2%,24.7%,6.2%,11.4%,11.5%,0.6%,27.3%,9.6%,8.4%,Alameda,2021-04-12,2021-04-11,2021-04-13 14:20:39
1.8%,0.6%,0.3%,1.0%,0.3%,0.000%,18.5%,0.8%,76.9%,Alpine,2021-04-12,2021-04-09,2021-04-13 14:20:42
0.8%,1.6%,0.5%,7.8%,3.9%,0.3%,70.7%,8.6%,5.8%,Amador,2021-04-12,2021-04-11,2021-04-13 14:20:44
1.1%,2.8%,0.8%,9.6%,16.9%,0.1%,57.8%,6.7%,4.1%,Butte,2021-04-12,2021-04-11,2021-04-13 14:20:47
0.5%,1.4%,0.5%,5.5%,1.8%,0.2%,58.1%,8.2%,23.9%,Calaveras,2021-04-12,2021-04-11,2021-04-13 14:20:49
0.8%,0.7%,0.5%,33.7%,6.6%,0.1%,30.6%,5.9%,21.2%,Colusa,2021-04-12,2021-04-11,2021-04-13 14:20:52
0.2%,12.6%,5.0%,14.9%,11.7%,0.6%,37.7%,8.5%,8.6%,Contra Costa,2021-04-12,2021-04-11,2021-04-13 14:20:54
6.3%,1.7%,0.5%,6.6%,11.0%,0.1%,58.9%,3.1%,11.8%,Del Norte,2021-04-12,2021-04-10,2021-04-13 14:20:57
0.3%,3.8%,0.6%,6.6%,13.9%,0.3%,60.3%,7.2%,6.9%,El Dorado,2021-04-12,2021-04-11,2021-04-13 14:20:59
0.5%,8.2%,2.3%,36.1%,10.6%,0.2%,28.5%,7.9%,5.8%,Fresno,2021-04-12,2021-04-11,2021-04-13 14:21:01
1.8%,1.5%,0.2%,27.4%,9.5%,0.1%,42.5%,10.8%,6.2%,Glenn,2021-04-12,2021-04-11,2021-04-13 14:21:04
3.0%,1.6%,0.8%,8.0%,13.8%,0.2%,65.8%,2.7%,4.1%,Humboldt,2021-04-12,2021-04-11,2021-04-13 14:21:06
0.2%,0.8%,0.4%,71.7%,2.7%,0.1%,10.0%,7.7%,6.5%,Imperial,2021-04-12,2021-04-11,2021-04-13 14:21:09
0.9%,1.2%,0.2%,11.0%,21.2%,0.1%,55.7%,3.4%,6.2%,Inyo,2021-04-12,2021-04-10,2021-04-13 14:21:11
0.3%,4.4%,2.5%,35.5%,12.1%,0.2%,29.0%,9.4%,6.6%,Kern,2021-04-12,2021-04-11,2021-04-13 14:21:14
0.6%,3.0%,2.2%,45.3%,7.7%,0.2%,27.3%,5.8%,7.8%,Kings,2021-04-12,2021-04-11,2021-04-13 14:21:16
1.8%,1.3%,1.3%,16.9%,15.4%,0.2%,57.2%,2.6%,3.3%,Lake,2021-04-12,2021-04-11,2021-04-13 14:21:18
1.0%,1.6%,0.8%,8.8%,7.8%,0.3%,63.1%,3.3%,13.1%,Lassen,2021-04-12,2021-04-10,2021-04-13 14:21:21
0.2%,13.0%,4.4%,28.9%,17.1%,0.3%,20.1%,12.1%,4.0%,Los Angeles,2021-04-12,2021-04-11,2021-04-13 14:21:23
0.8%,2.1%,1.6%,36.9%,7.7%,0.1%,34.6%,9.7%,6.5%,Madera,2021-04-12,2021-04-11,2021-04-13 14:21:26
