Female,Male,Unknown/undifferentiated,County,Date Updated,Date Data,Date Scraped
57.5%,42.2%,0.3%,Alameda,2021-03-22,2021-03-21,2021-03-22 16:28:47
47.1%,52.4%,0.5%,Alpine,2021-03-22,2021-03-19,2021-03-22 16:28:51
56.2%,43.7%,0.1%,Amador,2021-03-22,2021-03-21,2021-03-22 16:28:54
57.5%,42.5%,0.1%,Butte,2021-03-22,2021-03-21,2021-03-22 16:28:58
55.1%,44.2%,0.8%,Calaveras,2021-03-22,2021-03-21,2021-03-22 16:29:10
52.1%,45.9%,2%,Colusa,2021-03-22,2021-03-20,2021-03-22 16:29:13
57.7%,42.2%,0.1%,Contra Costa,2021-03-22,2021-03-21,2021-03-22 16:29:16
53.9%,46%,0.1%,Del Norte,2021-03-22,2021-03-21,2021-03-22 16:29:20
55.9%,44%,0.1%,El Dorado,2021-03-22,2021-03-21,2021-03-22 16:29:24
56.2%,43.8%,0.1%,Fresno,2021-03-22,2021-03-21,2021-03-22 16:29:27
57.1%,42.7%,0.1%,Glenn,2021-03-22,2021-03-20,2021-03-22 16:29:31
58.5%,41.3%,0.1%,Humboldt,2021-03-22,2021-03-21,2021-03-22 16:29:34
54.9%,45%,0%,Imperial,2021-03-22,2021-03-21,2021-03-22 16:29:38
53.6%,46.3%,0.1%,Inyo,2021-03-22,2021-03-20,2021-03-22 16:29:41
55.7%,43.7%,0.6%,Kern,2021-03-22,2021-03-21,2021-03-22 16:29:45
55.1%,44.5%,0.4%,Kings,2021-03-22,2021-03-21,2021-03-22 16:29:48
54.6%,45.4%,0.1%,Lake,2021-03-22,2021-03-21,2021-03-22 16:29:52
52.8%,47.1%,0.1%,Lassen,2021-03-22,2021-03-21,2021-03-22 16:29:56
56.6%,43.2%,0.2%,Los Angeles,2021-03-22,2021-03-21,2021-03-22 16:30:00
55.1%,44.8%,0.1%,Madera,2021-03-22,2021-03-21,2021-03-22 16:30:03
56.9%,43%,0.1%,Marin,2021-03-22,2021-03-21,2021-03-22 16:30:07
53.7%,45.9%,0.4%,Mariposa,2021-03-22,2021-03-21,2021-03-22 16:30:10
54.2%,45%,0.8%,Mendocino,2021-03-22,2021-03-21,2021-03-22 16:30:14
55.5%,44%,0.4%,Merced,2021-03-22,2021-03-21,2021-03-22 16:30:17
52.7%,47.3%,0%,Modoc,2021-03-22,2021-03-20,2021-03-22 16:30:20
47.4%,52.5%,0%,Mono,2021-03-22,2021-03-21,2021-03-22 16:30:24
55%,41.7%,3.3%,Monterey,2021-03-22,2021-03-21,2021-03-22 16:30:27
53.6%,46.4%,0.1%,Napa,2021-03-22,2021-03-21,2021-03-22 16:30:31
57%,42.9%,0.1%,Nevada,2021-03-22,2021-03-21,2021-03-22 16:30:34
56.3%,42.6%,1.1%,Orange,2021-03-22,2021-03-21,2021-03-22 16:30:38
57.5%,42.4%,0.1%,Placer,2021-03-22,2021-03-21,2021-03-22 16:30:41
54.4%,45.5%,0%,Plumas,2021-03-22,2021-03-20,2021-03-22 16:30:44
55.8%,44.1%,0.1%,Riverside,2021-03-22,2021-03-21,2021-03-22 16:30:48
57.7%,42.1%,0.2%,Sacramento,2021-03-22,2021-03-21,2021-03-22 16:30:52
57.1%,42.5%,0.4%,San Benito,2021-03-22,2021-03-21,2021-03-22 16:30:55
57.6%,42.3%,0.1%,San Bernardino,2021-03-22,2021-03-21,2021-03-22 16:30:59
57.6%,41.6%,0.8%,San Diego,2021-03-22,2021-03-21,2021-03-22 16:31:02
53.4%,46.3%,0.3%,San Francisco,2021-03-22,2021-03-21,2021-03-22 16:31:06
57.1%,42.2%,0.7%,San Joaquin,2021-03-22,2021-03-21,2021-03-22 16:31:09
57%,43%,0.1%,San Luis Obispo,2021-03-22,2021-03-21,2021-03-22 16:31:13
57.2%,42.7%,0.1%,San Mateo,2021-03-22,2021-03-21,2021-03-22 16:31:16
57.2%,42.7%,0.1%,Santa Barbara,2021-03-22,2021-03-21,2021-03-22 16:31:20
57.4%,42.5%,0.1%,Santa Clara,2021-03-22,2021-03-21,2021-03-22 16:31:23
57.2%,42.3%,0.4%,Santa Cruz,2021-03-22,2021-03-21,2021-03-22 16:31:27
57.6%,42.3%,0.1%,Shasta,2021-03-22,2021-03-21,2021-03-22 16:31:30
52.2%,47.6%,0.2%,Sierra,2021-03-22,2021-03-18,2021-03-22 16:31:34
55.5%,44.5%,0%,Siskiyou,2021-03-22,2021-03-21,2021-03-22 16:31:37
57.6%,42.2%,0.2%,Solano,2021-03-22,2021-03-21,2021-03-22 16:31:40
57.2%,42.7%,0.1%,Sonoma,2021-03-22,2021-03-21,2021-03-22 16:31:44
56.6%,43%,0.4%,Stanislaus,2021-03-22,2021-03-21,2021-03-22 16:31:47
56%,43.5%,0.5%,Sutter,2021-03-22,2021-03-21,2021-03-22 16:31:51
56.1%,43.8%,0%,Tehama,2021-03-22,2021-03-20,2021-03-22 16:31:54
50.5%,49.3%,0.2%,Trinity,2021-03-22,2021-03-20,2021-03-22 16:31:58
55.2%,44.7%,0.1%,Tulare,2021-03-22,2021-03-21,2021-03-22 16:32:01
55%,44.9%,0.1%,Tuolumne,2021-03-22,2021-03-21,2021-03-22 16:32:05
56.4%,43.6%,0%,Ventura,2021-03-22,2021-03-21,2021-03-22 16:32:08
55.5%,40.4%,4.1%,Yolo,2021-03-22,2021-03-21,2021-03-22 16:32:12
57.6%,42.1%,0.3%,Yuba,2021-03-22,2021-03-21,2021-03-22 16:32:15
