Female,Male,Unknown/undifferentiated,County,Date Updated,Date Data,Date Scraped
55.6%,44.0%,0.3%,Alameda,2021-04-06,2021-04-05,2021-04-07 00:58:46
46.8%,52.8%,0.4%,Alpine,2021-04-06,2021-04-02,2021-04-07 00:58:48
55.6%,44.2%,0.1%,Amador,2021-04-06,2021-04-05,2021-04-07 00:58:50
55.8%,44.1%,0.1%,Butte,2021-04-06,2021-04-05,2021-04-07 00:58:52
54.4%,44.9%,0.7%,Calaveras,2021-04-06,2021-04-05,2021-04-07 00:58:54
50.7%,47.7%,1.5%,Colusa,2021-04-06,2021-04-05,2021-04-07 00:58:57
55.8%,44.0%,0.1%,Contra Costa,2021-04-06,2021-04-05,2021-04-07 00:58:59
53.7%,46.2%,0.1%,Del Norte,2021-04-06,2021-04-05,2021-04-07 00:59:01
55.0%,44.9%,0.1%,El Dorado,2021-04-06,2021-04-05,2021-04-07 00:59:03
55.3%,44.7%,0.1%,Fresno,2021-04-06,2021-04-05,2021-04-07 00:59:05
54.7%,45.1%,0.1%,Glenn,2021-04-06,2021-04-05,2021-04-07 00:59:07
56.4%,43.5%,0.1%,Humboldt,2021-04-06,2021-04-05,2021-04-07 00:59:10
53.4%,46.6%,0.04%,Imperial,2021-04-06,2021-04-05,2021-04-07 00:59:12
52.6%,47.3%,0.1%,Inyo,2021-04-06,2021-04-05,2021-04-07 00:59:14
54.6%,44.8%,0.6%,Kern,2021-04-06,2021-04-05,2021-04-07 00:59:16
54.3%,45.3%,0.3%,Kings,2021-04-06,2021-04-05,2021-04-07 00:59:18
54.0%,46.0%,0.1%,Lake,2021-04-06,2021-04-05,2021-04-07 00:59:20
52.5%,47.3%,0.2%,Lassen,2021-04-06,2021-04-05,2021-04-07 00:59:22
55.1%,44.7%,0.2%,Los Angeles,2021-04-06,2021-04-05,2021-04-07 00:59:24
54.6%,45.3%,0.1%,Madera,2021-04-06,2021-04-05,2021-04-07 00:59:26
55.7%,44.2%,0.1%,Marin,2021-04-06,2021-04-05,2021-04-07 00:59:29
53.5%,46.1%,0.4%,Mariposa,2021-04-06,2021-04-05,2021-04-07 00:59:31
53.8%,45.5%,0.7%,Mendocino,2021-04-06,2021-04-05,2021-04-07 00:59:33
54.9%,44.7%,0.4%,Merced,2021-04-06,2021-04-05,2021-04-07 00:59:35
52.5%,47.5%,0.000%,Modoc,2021-04-06,2021-04-01,2021-04-07 00:59:37
47.4%,52.6%,0.02%,Mono,2021-04-06,2021-04-05,2021-04-07 00:59:39
53.3%,43.9%,2.8%,Monterey,2021-04-06,2021-04-05,2021-04-07 00:59:41
53.3%,46.7%,0.1%,Napa,2021-04-06,2021-04-05,2021-04-07 00:59:43
55.8%,44.1%,0.1%,Nevada,2021-04-06,2021-04-05,2021-04-07 00:59:45
54.9%,44.2%,0.9%,Orange,2021-04-06,2021-04-05,2021-04-07 00:59:48
56.6%,43.4%,0.1%,Placer,2021-04-06,2021-04-05,2021-04-07 00:59:50
54.0%,45.9%,0.1%,Plumas,2021-04-06,2021-04-05,2021-04-07 00:59:52
54.8%,45.1%,0.1%,Riverside,2021-04-06,2021-04-05,2021-04-07 00:59:54
56.7%,43.1%,0.3%,Sacramento,2021-04-06,2021-04-05,2021-04-07 00:59:56
55.2%,44.5%,0.3%,San Benito,2021-04-06,2021-04-05,2021-04-07 00:59:58
56.2%,43.6%,0.2%,San Bernardino,2021-04-06,2021-04-05,2021-04-07 01:00:00
56.3%,42.9%,0.8%,San Diego,2021-04-06,2021-04-05,2021-04-07 01:00:02
52.0%,47.7%,0.3%,San Francisco,2021-04-06,2021-04-05,2021-04-07 01:00:05
55.8%,43.3%,0.9%,San Joaquin,2021-04-06,2021-04-05,2021-04-07 01:00:07
55.7%,44.2%,0.1%,San Luis Obispo,2021-04-06,2021-04-05,2021-04-07 01:00:09
55.7%,44.2%,0.1%,San Mateo,2021-04-06,2021-04-05,2021-04-07 01:00:11
55.2%,44.7%,0.1%,Santa Barbara,2021-04-06,2021-04-05,2021-04-07 01:00:13
55.3%,44.6%,0.1%,Santa Clara,2021-04-06,2021-04-05,2021-04-07 01:00:15
56.0%,43.6%,0.4%,Santa Cruz,2021-04-06,2021-04-05,2021-04-07 01:00:17
56.9%,43.0%,0.1%,Shasta,2021-04-06,2021-04-05,2021-04-07 01:00:20
52.1%,47.8%,0.2%,Sierra,2021-04-06,2021-04-05,2021-04-07 01:00:22
54.6%,45.4%,0.05%,Siskiyou,2021-04-06,2021-04-05,2021-04-07 01:00:24
56.4%,43.1%,0.6%,Solano,2021-04-06,2021-04-05,2021-04-07 01:00:26
55.9%,44.0%,0.1%,Sonoma,2021-04-06,2021-04-05,2021-04-07 01:00:28
55.7%,43.8%,0.5%,Stanislaus,2021-04-06,2021-04-05,2021-04-07 01:00:30
55.0%,44.6%,0.4%,Sutter,2021-04-06,2021-04-05,2021-04-07 01:00:32
55.3%,44.6%,0.1%,Tehama,2021-04-06,2021-04-05,2021-04-07 01:00:34
50.0%,49.9%,0.2%,Trinity,2021-04-06,2021-04-05,2021-04-07 01:00:37
54.6%,45.4%,0.1%,Tulare,2021-04-06,2021-04-05,2021-04-07 01:00:39
54.4%,45.4%,0.1%,Tuolumne,2021-04-06,2021-04-05,2021-04-07 01:00:41
55.2%,44.7%,0.05%,Ventura,2021-04-06,2021-04-05,2021-04-07 01:00:43
54.8%,42.0%,3.3%,Yolo,2021-04-06,2021-04-05,2021-04-07 01:00:45
56.5%,43.3%,0.2%,Yuba,2021-04-06,2021-04-05,2021-04-07 01:00:47
