0-17,18-49,50-64,65+,County,Date Updated,Date Data,Date Scraped
0.6%,39.8%,26.8%,32.8%,Alameda,2021-04-08,2021-04-07,2021-04-09 10:23:23
0.1%,35.3%,35.1%,29.5%,Alpine,2021-04-08,2021-04-06,2021-04-09 10:23:26
0.1%,19.2%,25.8%,54.9%,Amador,2021-04-08,2021-04-07,2021-04-09 10:23:28
0.7%,35.0%,24.8%,39.6%,Butte,2021-04-08,2021-04-07,2021-04-09 10:23:31
0.4%,17.0%,25.9%,56.7%,Calaveras,2021-04-08,2021-04-07,2021-04-09 10:23:33
0.2%,37.8%,26.8%,35.2%,Colusa,2021-04-08,2021-04-07,2021-04-09 10:23:36
1.0%,37.7%,29.3%,32.0%,Contra Costa,2021-04-08,2021-04-07,2021-04-09 10:23:38
0.1%,25.7%,27.4%,46.7%,Del Norte,2021-04-08,2021-04-07,2021-04-09 10:23:41
0.6%,39.8%,26.8%,32.8%,El Dorado,2021-04-08,2021-04-07,2021-04-09 10:23:43
0.6%,42.0%,26.5%,30.9%,Fresno,2021-04-08,2021-04-07,2021-04-09 10:23:46
0.3%,31.7%,27.0%,41.0%,Glenn,2021-04-08,2021-04-07,2021-04-09 10:23:49
0.3%,36.7%,23.2%,39.8%,Humboldt,2021-04-08,2021-04-07,2021-04-09 10:23:51
0.3%,41.4%,25.8%,32.5%,Imperial,2021-04-08,2021-04-07,2021-04-09 10:23:54
0.3%,28.7%,25.4%,45.6%,Inyo,2021-04-08,2021-04-07,2021-04-09 10:23:56
0.9%,41.3%,26.9%,30.8%,Kern,2021-04-08,2021-04-07,2021-04-09 10:23:59
0.5%,43.6%,29.0%,26.9%,Kings,2021-04-08,2021-04-07,2021-04-09 10:24:01
0.2%,24.7%,28.2%,46.9%,Lake,2021-04-08,2021-04-07,2021-04-09 10:24:04
0.1%,24.0%,27.5%,48.4%,Lassen,2021-04-08,2021-04-07,2021-04-09 10:24:06
0.6%,42.9%,27.3%,29.3%,Los Angeles,2021-04-08,2021-04-07,2021-04-09 10:24:09
0.5%,35.8%,26.6%,37.1%,Madera,2021-04-08,2021-04-07,2021-04-09 10:24:12
1.2%,32.9%,29.0%,36.9%,Marin,2021-04-08,2021-04-07,2021-04-09 10:24:14
0.2%,19.6%,25.3%,54.9%,Mariposa,2021-04-08,2021-04-07,2021-04-09 10:24:17
0.6%,32.3%,24.5%,42.6%,Mendocino,2021-04-08,2021-04-07,2021-04-09 10:24:19
0.6%,41.2%,26.2%,32.0%,Merced,2021-04-08,2021-04-07,2021-04-09 10:24:22
0.1%,20.4%,26.6%,52.8%,Modoc,2021-04-08,2021-04-06,2021-04-09 10:24:25
1.4%,46.4%,29.4%,22.8%,Mono,2021-04-08,2021-04-07,2021-04-09 10:24:27
0.5%,42.8%,25.8%,30.9%,Monterey,2021-04-08,2021-04-07,2021-04-09 10:24:30
0.5%,37.6%,25.7%,36.1%,Napa,2021-04-08,2021-04-07,2021-04-09 10:24:32
0.7%,24.4%,24.5%,50.4%,Nevada,2021-04-08,2021-04-07,2021-04-09 10:24:35
0.7%,39.3%,26.8%,33.2%,Orange,2021-04-08,2021-04-07,2021-04-09 10:24:37
0.6%,29.6%,25.7%,44.1%,Placer,2021-04-08,2021-04-07,2021-04-09 10:24:40
0.1%,20.7%,23.2%,56.0%,Plumas,2021-04-08,2021-04-07,2021-04-09 10:24:43
0.7%,34.3%,27.5%,37.5%,Riverside,2021-04-08,2021-04-07,2021-04-09 10:24:46
0.7%,38.6%,26.6%,34.2%,Sacramento,2021-04-08,2021-04-07,2021-04-09 10:24:48
0.4%,40.2%,27.4%,32.0%,San Benito,2021-04-08,2021-04-07,2021-04-09 10:24:51
0.7%,38.6%,28.4%,32.3%,San Bernardino,2021-04-08,2021-04-07,2021-04-09 10:24:53
0.6%,38.6%,24.5%,36.3%,San Diego,2021-04-08,2021-04-07,2021-04-09 10:24:56
0.4%,47.0%,25.2%,27.4%,San Francisco,2021-04-08,2021-04-07,2021-04-09 10:24:58
0.6%,37.8%,27.6%,34.0%,San Joaquin,2021-04-08,2021-04-07,2021-04-09 10:25:01
0.4%,30.2%,23.7%,45.7%,San Luis Obispo,2021-04-08,2021-04-07,2021-04-09 10:25:03
0.7%,40.0%,27.4%,31.9%,San Mateo,2021-04-08,2021-04-07,2021-04-09 10:25:06
0.4%,37.9%,25.4%,36.3%,Santa Barbara,2021-04-08,2021-04-07,2021-04-09 10:25:09
0.8%,40.3%,28.2%,30.8%,Santa Clara,2021-04-08,2021-04-07,2021-04-09 10:25:11
0.6%,37.1%,26.5%,35.9%,Santa Cruz,2021-04-08,2021-04-07,2021-04-09 10:25:14
0.4%,24.1%,24.9%,50.7%,Shasta,2021-04-08,2021-04-07,2021-04-09 10:25:17
0.000%,23.6%,28.9%,47.5%,Sierra,2021-04-08,2021-04-07,2021-04-09 10:25:19
0.5%,22.6%,24.6%,52.3%,Siskiyou,2021-04-08,2021-04-07,2021-04-09 10:25:22
0.4%,35.4%,28.2%,36.0%,Solano,2021-04-08,2021-04-07,2021-04-09 10:25:24
0.6%,34.4%,26.5%,38.6%,Sonoma,2021-04-08,2021-04-07,2021-04-09 10:25:27
1.0%,37.7%,27.1%,34.2%,Stanislaus,2021-04-08,2021-04-07,2021-04-09 10:25:30
0.2%,34.3%,27.4%,38.0%,Sutter,2021-04-08,2021-04-07,2021-04-09 10:25:32
0.4%,25.0%,27.4%,47.2%,Tehama,2021-04-08,2021-04-07,2021-04-09 10:25:35
0.1%,20.4%,24.7%,54.8%,Trinity,2021-04-08,2021-04-07,2021-04-09 10:25:38
0.8%,42.9%,26.9%,29.4%,Tulare,2021-04-08,2021-04-07,2021-04-09 10:25:41
0.4%,20.7%,26.1%,52.7%,Tuolumne,2021-04-08,2021-04-07,2021-04-09 10:25:43
0.7%,36.3%,28.0%,35.0%,Ventura,2021-04-08,2021-04-07,2021-04-09 10:25:46
0.7%,45.6%,24.4%,29.3%,Yolo,2021-04-08,2021-04-07,2021-04-09 10:25:48
0.2%,32.4%,28.1%,39.3%,Yuba,2021-04-08,2021-04-07,2021-04-09 10:25:51
