0-17,18-49,50-64,65+,County,Date Updated,Date Data,Date Scraped
0.4%,40.7%,22.3%,36.7%,Alameda,2021-03-25,2021-03-24,2021-03-26 08:23:41
0.3%,36.6%,22.8%,40.2%,Alpine,2021-03-25,2021-03-24,2021-03-26 08:23:44
0.1%,17.7%,21.3%,60.9%,Amador,2021-03-25,2021-03-24,2021-03-26 08:23:46
0.2%,31.2%,22.7%,45.8%,Butte,2021-03-25,2021-03-24,2021-03-26 08:23:49
0.3%,15.2%,20.8%,63.8%,Calaveras,2021-03-25,2021-03-24,2021-03-26 08:23:51
0.1%,34.6%,23.1%,42.1%,Colusa,2021-03-25,2021-03-24,2021-03-26 08:23:54
0.5%,33.5%,24.4%,41.7%,Contra Costa,2021-03-25,2021-03-24,2021-03-26 08:23:57
0.1%,24.1%,24.2%,51.6%,Del Norte,2021-03-25,2021-03-24,2021-03-26 08:24:00
0.3%,23.5%,23.8%,52.3%,El Dorado,2021-03-25,2021-03-24,2021-03-26 08:24:03
0.4%,39.4%,24.6%,35.6%,Fresno,2021-03-25,2021-03-24,2021-03-26 08:24:05
0.1%,27.9%,23.1%,48.9%,Glenn,2021-03-25,2021-03-24,2021-03-26 08:24:08
0.1%,32.5%,18.9%,48.5%,Humboldt,2021-03-25,2021-03-24,2021-03-26 08:24:11
0.1%,37.8%,21.9%,40.2%,Imperial,2021-03-25,2021-03-24,2021-03-26 08:24:13
0.1%,26.3%,19.6%,53.9%,Inyo,2021-03-25,2021-03-23,2021-03-26 08:24:16
0.3%,37.9%,24.3%,37.5%,Kern,2021-03-25,2021-03-24,2021-03-26 08:24:19
0.3%,41.6%,27.3%,30.8%,Kings,2021-03-25,2021-03-24,2021-03-26 08:24:21
0.2%,23.8%,23.4%,52.6%,Lake,2021-03-25,2021-03-24,2021-03-26 08:24:24
0.0%,22.8%,24.8%,52.4%,Lassen,2021-03-25,2021-03-24,2021-03-26 08:24:26
0.3%,40.1%,23.3%,36.3%,Los Angeles,2021-03-25,2021-03-24,2021-03-26 08:24:29
0.3%,33.0%,24.8%,42.0%,Madera,2021-03-25,2021-03-24,2021-03-26 08:24:32
0.8%,29.1%,24.2%,45.9%,Marin,2021-03-25,2021-03-24,2021-03-26 08:24:34
0.1%,18.1%,22.8%,58.9%,Mariposa,2021-03-25,2021-03-23,2021-03-26 08:24:37
0.6%,33.2%,24.1%,42.1%,Mendocino,2021-03-25,2021-03-24,2021-03-26 08:24:40
0.3%,37.1%,24.9%,37.7%,Merced,2021-03-25,2021-03-24,2021-03-26 08:24:42
0.1%,18.9%,25.1%,55.8%,Modoc,2021-03-25,2021-03-23,2021-03-26 08:24:45
1.2%,43.9%,28.8%,26.1%,Mono,2021-03-25,2021-03-24,2021-03-26 08:24:48
0.2%,38.8%,22.4%,38.6%,Monterey,2021-03-25,2021-03-24,2021-03-26 08:24:50
0.3%,35.4%,22.8%,41.5%,Napa,2021-03-25,2021-03-24,2021-03-26 08:24:53
0.4%,21.0%,19.2%,59.5%,Nevada,2021-03-25,2021-03-24,2021-03-26 08:24:55
0.3%,35.2%,22.7%,41.8%,Orange,2021-03-25,2021-03-24,2021-03-26 08:24:58
0.4%,28.0%,21.6%,50.0%,Placer,2021-03-25,2021-03-24,2021-03-26 08:25:00
0.1%,19.9%,19.5%,60.6%,Plumas,2021-03-25,2021-03-24,2021-03-26 08:25:03
0.3%,30.9%,23.0%,45.8%,Riverside,2021-03-25,2021-03-24,2021-03-26 08:25:05
0.4%,36.3%,23.5%,39.8%,Sacramento,2021-03-25,2021-03-24,2021-03-26 08:25:08
0.1%,37.1%,23.6%,39.2%,San Benito,2021-03-25,2021-03-24,2021-03-26 08:25:11
0.3%,36.4%,23.9%,39.4%,San Bernardino,2021-03-25,2021-03-24,2021-03-26 08:25:13
0.3%,35.0%,20.3%,44.4%,San Diego,2021-03-25,2021-03-24,2021-03-26 08:25:16
0.3%,43.9%,22.1%,33.7%,San Francisco,2021-03-25,2021-03-24,2021-03-26 08:25:18
0.4%,35.2%,25.3%,39.1%,San Joaquin,2021-03-25,2021-03-24,2021-03-26 08:25:21
0.2%,25.8%,17.7%,56.3%,San Luis Obispo,2021-03-25,2021-03-24,2021-03-26 08:25:24
0.4%,37.3%,22.7%,39.5%,San Mateo,2021-03-25,2021-03-24,2021-03-26 08:25:26
0.2%,33.3%,19.0%,47.5%,Santa Barbara,2021-03-25,2021-03-24,2021-03-26 08:25:29
0.4%,35.9%,22.5%,41.3%,Santa Clara,2021-03-25,2021-03-24,2021-03-26 08:25:32
0.3%,34.6%,21.7%,43.5%,Santa Cruz,2021-03-25,2021-03-24,2021-03-26 08:25:34
0.2%,23.2%,21.6%,54.9%,Shasta,2021-03-25,2021-03-24,2021-03-26 08:25:37
0.0%,19.1%,27.7%,53.2%,Sierra,2021-03-25,2021-03-24,2021-03-26 08:25:39
0.4%,20.4%,22.8%,56.5%,Siskiyou,2021-03-25,2021-03-24,2021-03-26 08:25:41
0.3%,32.8%,25.5%,41.5%,Solano,2021-03-25,2021-03-24,2021-03-26 08:25:44
0.3%,31.6%,22.9%,45.3%,Sonoma,2021-03-25,2021-03-24,2021-03-26 08:25:47
0.5%,34.1%,25.4%,39.9%,Stanislaus,2021-03-25,2021-03-24,2021-03-26 08:25:49
0.2%,30.7%,24.6%,44.4%,Sutter,2021-03-25,2021-03-24,2021-03-26 08:25:52
0.0%,24.4%,23.7%,51.8%,Tehama,2021-03-25,2021-03-24,2021-03-26 08:25:55
0.1%,19.2%,21.5%,59.3%,Trinity,2021-03-25,2021-03-23,2021-03-26 08:25:57
0.5%,41.1%,25.4%,33.0%,Tulare,2021-03-25,2021-03-24,2021-03-26 08:26:00
0.3%,36.6%,22.8%,40.2%,Tuolumne,2021-03-25,2021-03-24,2021-03-26 08:26:02
0.4%,34.9%,22.5%,42.2%,Ventura,2021-03-25,2021-03-24,2021-03-26 08:26:05
0.4%,42.3%,21.4%,35.8%,Yolo,2021-03-25,2021-03-24,2021-03-26 08:26:08
0.1%,28.6%,23.4%,47.8%,Yuba,2021-03-25,2021-03-24,2021-03-26 08:26:10
