American Indian or Alaska Native (AI/AN),Asian American,Black,Latino,Multi-race,Native Hawaiian or Other Pacific Islander (NHPI),White,Other,Unknown,County,Date Updated,Date Data,Date Scraped
0.2%,20.1%,5.3%,10.1%,9.2%,0.5%,23.5%,8.8%,22.2%,Alameda,2021-04-04,2021-04-03,2021-04-04 16:36:12
1.7%,0.6%,0.3%,0.7%,0.3%,0.0%,17.8%,0.8%,77.8%,Alpine,2021-04-04,2021-04-01,2021-04-04 16:36:14
0.9%,1.5%,0.4%,7.4%,3.6%,0.3%,67.2%,8.7%,10.2%,Amador,2021-04-04,2021-04-03,2021-04-04 16:36:17
1.1%,2.3%,0.7%,7.8%,14.7%,0.1%,56.0%,8.1%,9.2%,Butte,2021-04-04,2021-04-03,2021-04-04 16:36:19
0.4%,1.1%,0.4%,5.2%,1.3%,0.2%,55.1%,8.8%,27.4%,Calaveras,2021-04-04,2021-04-03,2021-04-04 16:36:21
1.0%,0.6%,0.4%,28.1%,5.1%,0.1%,30.9%,5.5%,28.1%,Colusa,2021-04-04,2021-04-03,2021-04-04 16:36:24
0.2%,10.5%,4.3%,12.5%,9.9%,0.5%,33.0%,7.6%,21.5%,Contra Costa,2021-04-04,2021-04-03,2021-04-04 16:36:26
6.5%,1.7%,0.5%,5.6%,7.0%,0.2%,59.9%,3.3%,15.2%,Del Norte,2021-04-04,2021-04-03,2021-04-04 16:36:29
0.2%,2.8%,0.5%,5.6%,11.6%,0.3%,48.3%,7.8%,22.9%,El Dorado,2021-04-04,2021-04-03,2021-04-04 16:36:31
0.5%,7.0%,2.1%,31.5%,8.2%,0.2%,28.0%,7.9%,14.6%,Fresno,2021-04-04,2021-04-03,2021-04-04 16:36:33
1.9%,1.2%,0.2%,22.1%,7.5%,0.1%,41.7%,10.5%,14.8%,Glenn,2021-04-04,2021-04-02,2021-04-04 16:36:36
3.1%,1.4%,0.7%,7.0%,12.1%,0.2%,63.3%,3.4%,8.7%,Humboldt,2021-04-04,2021-04-03,2021-04-04 16:36:38
0.1%,0.6%,0.4%,62.6%,1.8%,0.1%,9.4%,8.0%,16.9%,Imperial,2021-04-04,2021-04-03,2021-04-04 16:36:41
1.0%,1.0%,0.2%,9.4%,19.9%,0.2%,52.7%,5.7%,9.9%,Inyo,2021-04-04,2021-04-03,2021-04-04 16:36:43
0.3%,4.1%,2.4%,31.4%,10.0%,0.3%,28.5%,11.7%,11.4%,Kern,2021-04-04,2021-04-03,2021-04-04 16:36:45
0.7%,2.6%,2.1%,41.0%,5.8%,0.2%,26.5%,6.2%,14.8%,Kings,2021-04-04,2021-04-03,2021-04-04 16:36:48
1.6%,1.1%,1.2%,16.0%,13.9%,0.1%,55.0%,3.7%,7.3%,Lake,2021-04-04,2021-04-03,2021-04-04 16:36:50
1.2%,1.4%,0.7%,7.0%,7.1%,0.3%,59.5%,3.6%,19.2%,Lassen,2021-04-04,2021-04-03,2021-04-04 16:36:52
0.2%,12.4%,4.4%,25.0%,14.3%,0.4%,19.7%,14.8%,8.9%,Los Angeles,2021-04-04,2021-04-03,2021-04-04 16:36:55
0.9%,1.9%,1.4%,32.8%,6.0%,0.1%,32.5%,8.7%,15.7%,Madera,2021-04-04,2021-04-03,2021-04-04 16:36:57
0.1%,3.8%,0.9%,9.9%,10.3%,0.2%,47.6%,6.3%,20.9%,Marin,2021-04-04,2021-04-03,2021-04-04 16:37:00
1.8%,0.9%,0.4%,7.4%,2.2%,0.2%,62.8%,4.9%,19.4%,Mariposa,2021-04-04,2021-04-02,2021-04-04 16:37:02
0.8%,1.3%,0.3%,15.7%,13.6%,0.2%,49.7%,7.0%,11.3%,Mendocino,2021-04-04,2021-04-03,2021-04-04 16:37:04
0.4%,6.0%,1.6%,34.4%,0.4%,0.2%,25.3%,8.4%,23.3%,Merced,2021-04-04,2021-04-03,2021-04-04 16:37:07
2.3%,1.7%,1.0%,7.8%,4.5%,0.1%,69.6%,2.0%,10.9%,Modoc,2021-04-04,2021-04-01,2021-04-04 16:37:09
0.4%,1.3%,0.3%,21.4%,9.9%,0.2%,57.1%,1.9%,7.6%,Mono,2021-04-04,2021-04-03,2021-04-04 16:37:12
0.2%,4.1%,1.1%,35.8%,9.1%,0.5%,25.7%,7.7%,15.8%,Monterey,2021-04-04,2021-04-03,2021-04-04 16:37:14
0.2%,4.0%,0.9%,18.1%,6.4%,0.4%,39.0%,6.1%,25.0%,Napa,2021-04-04,2021-04-03,2021-04-04 16:37:16
0.7%,0.7%,0.3%,5.1%,15.2%,0.1%,61.5%,6.5%,9.9%,Nevada,2021-04-04,2021-04-03,2021-04-04 16:37:19
0.1%,17.8%,0.9%,12.9%,12.8%,0.3%,30.9%,11.2%,12.9%,Orange,2021-04-04,2021-04-03,2021-04-04 16:37:21
0.4%,5.1%,0.9%,8.6%,11.5%,0.4%,44.8%,7.9%,20.4%,Placer,2021-04-04,2021-04-03,2021-04-04 16:37:24
0.9%,0.6%,0.4%,2.2%,6.0%,0.0%,72.8%,3.8%,13.2%,Plumas,2021-04-04,2021-04-03,2021-04-04 16:37:26
0.3%,5.7%,3.7%,24.5%,11.8%,0.3%,31.3%,12.9%,9.4%,Riverside,2021-04-04,2021-04-03,2021-04-04 16:37:28
0.4%,10.4%,3.9%,8.1%,8.2%,0.8%,28.4%,10.6%,29.3%,Sacramento,2021-04-04,2021-04-03,2021-04-04 16:37:31
0.2%,2.0%,0.6%,28.7%,4.1%,0.2%,20.9%,10.1%,33.1%,San Benito,2021-04-04,2021-04-03,2021-04-04 16:37:33
