0-17,18-49,50-64,65+,County,Date Updated,Date Data,Date Scraped
0.7%,44.7%,27.1%,27.4%,Alameda,2021-04-13,2021-04-12,2021-04-14 12:28:46
0.1%,36.3%,35.3%,28.2%,Alpine,2021-04-13,2021-04-09,2021-04-14 12:28:48
0.1%,20.2%,26.5%,53.2%,Amador,2021-04-13,2021-04-12,2021-04-14 12:28:51
0.7%,35.5%,24.9%,38.9%,Butte,2021-04-13,2021-04-12,2021-04-14 12:28:54
0.4%,17.1%,27.8%,54.8%,Calaveras,2021-04-13,2021-04-12,2021-04-14 12:28:56
0.2%,38.2%,27.7%,33.9%,Colusa,2021-04-13,2021-04-12,2021-04-14 12:28:59
1.2%,39.8%,28.9%,30.1%,Contra Costa,2021-04-13,2021-04-12,2021-04-14 12:29:02
0.2%,27.1%,28.8%,43.9%,Del Norte,2021-04-13,2021-04-12,2021-04-14 12:29:04
0.6%,25.9%,29.6%,44.0%,El Dorado,2021-04-13,2021-04-12,2021-04-14 12:29:07
0.7%,42.6%,26.8%,29.9%,Fresno,2021-04-13,2021-04-12,2021-04-14 12:29:10
0.4%,32.3%,27.4%,39.9%,Glenn,2021-04-13,2021-04-12,2021-04-14 12:29:12
0.4%,37.5%,23.9%,38.2%,Humboldt,2021-04-13,2021-04-12,2021-04-14 12:29:15
0.4%,42.4%,26.3%,30.9%,Imperial,2021-04-13,2021-04-12,2021-04-14 12:29:18
0.3%,29.2%,26.0%,44.5%,Inyo,2021-04-13,2021-04-12,2021-04-14 12:29:21
1.1%,42.0%,27.3%,29.7%,Kern,2021-04-13,2021-04-12,2021-04-14 12:29:23
0.6%,44.2%,29.0%,26.2%,Kings,2021-04-13,2021-04-12,2021-04-14 12:29:26
0.2%,25.5%,28.9%,45.3%,Lake,2021-04-13,2021-04-12,2021-04-14 12:29:29
0.1%,24.5%,28.0%,47.5%,Lassen,2021-04-13,2021-04-12,2021-04-14 12:29:31
0.7%,40.8%,27.5%,31.0%,Los Angeles,2021-04-13,2021-04-12,2021-04-14 12:29:34
0.5%,36.5%,27.0%,35.9%,Madera,2021-04-13,2021-04-12,2021-04-14 12:29:37
1.4%,33.9%,29.7%,35.1%,Marin,2021-04-13,2021-04-12,2021-04-14 12:29:39
0.2%,19.9%,25.5%,54.4%,Mariposa,2021-04-13,2021-04-12,2021-04-14 12:29:42
0.7%,32.8%,25.6%,41.0%,Mendocino,2021-04-13,2021-04-12,2021-04-14 12:29:45
0.6%,42.2%,26.6%,30.6%,Merced,2021-04-13,2021-04-12,2021-04-14 12:29:48
0.1%,20.8%,26.8%,52.3%,Modoc,2021-04-13,2021-04-12,2021-04-14 12:29:51
1.4%,46.6%,29.3%,22.6%,Mono,2021-04-13,2021-04-10,2021-04-14 12:29:53
0.9%,44.8%,26.2%,28.1%,Monterey,2021-04-13,2021-04-12,2021-04-14 12:29:56
0.6%,38.0%,26.6%,34.9%,Napa,2021-04-13,2021-04-12,2021-04-14 12:29:59
0.8%,25.3%,25.8%,48.1%,Nevada,2021-04-13,2021-04-12,2021-04-14 12:30:02
0.8%,39.9%,28.0%,31.3%,Orange,2021-04-13,2021-04-12,2021-04-14 12:30:04
0.8%,30.2%,27.0%,42.1%,Placer,2021-04-13,2021-04-12,2021-04-14 12:30:07
0.2%,22.5%,25.7%,51.6%,Plumas,2021-04-13,2021-04-10,2021-04-14 12:30:10
0.9%,35.8%,28.0%,35.3%,Riverside,2021-04-13,2021-04-12,2021-04-14 12:30:12
0.7%,39.1%,27.5%,32.7%,Sacramento,2021-04-13,2021-04-12,2021-04-14 12:30:15
0.4%,40.6%,28.8%,30.2%,San Benito,2021-04-13,2021-04-12,2021-04-14 12:30:18
0.9%,39.6%,29.0%,30.5%,San Bernardino,2021-04-13,2021-04-12,2021-04-14 12:30:21
0.7%,39.8%,25.2%,34.4%,San Diego,2021-04-13,2021-04-12,2021-04-14 12:30:23
0.5%,48.7%,25.4%,25.5%,San Francisco,2021-04-13,2021-04-12,2021-04-14 12:30:26
0.6%,38.8%,28.7%,31.9%,San Joaquin,2021-04-13,2021-04-12,2021-04-14 12:30:29
0.4%,31.6%,25.4%,42.6%,San Luis Obispo,2021-04-13,2021-04-12,2021-04-14 12:30:32
0.8%,41.0%,28.1%,30.0%,San Mateo,2021-04-13,2021-04-12,2021-04-14 12:30:34
0.8%,40.2%,25.7%,33.4%,Santa Barbara,2021-04-13,2021-04-12,2021-04-14 12:30:37
0.9%,42.0%,29.3%,27.8%,Santa Clara,2021-04-13,2021-04-12,2021-04-14 12:30:40
0.7%,37.8%,27.7%,33.8%,Santa Cruz,2021-04-13,2021-04-12,2021-04-14 12:30:43
0.5%,24.6%,25.5%,49.3%,Shasta,2021-04-13,2021-04-12,2021-04-14 12:30:46
0.000%,24.1%,29.0%,46.9%,Sierra,2021-04-13,2021-04-12,2021-04-14 12:30:48
0.5%,22.8%,25.1%,51.7%,Siskiyou,2021-04-13,2021-04-12,2021-04-14 12:30:51
0.6%,36.2%,28.7%,34.5%,Solano,2021-04-13,2021-04-12,2021-04-14 12:30:54
0.7%,35.1%,27.3%,36.9%,Sonoma,2021-04-13,2021-04-12,2021-04-14 12:30:57
1.2%,38.8%,27.4%,32.7%,Stanislaus,2021-04-13,2021-04-12,2021-04-14 12:30:59
0.4%,35.5%,27.8%,36.3%,Sutter,2021-04-13,2021-04-12,2021-04-14 12:31:02
0.5%,25.5%,27.8%,46.2%,Tehama,2021-04-13,2021-04-12,2021-04-14 12:31:05
0.1%,20.5%,25.3%,54.1%,Trinity,2021-04-13,2021-04-12,2021-04-14 12:31:07
1.0%,43.4%,27.1%,28.5%,Tulare,2021-04-13,2021-04-12,2021-04-14 12:31:10
0.5%,21.2%,26.6%,51.7%,Tuolumne,2021-04-13,2021-04-12,2021-04-14 12:31:13
0.7%,36.7%,29.1%,33.5%,Ventura,2021-04-13,2021-04-12,2021-04-14 12:31:16
0.9%,46.3%,24.8%,28.0%,Yolo,2021-04-13,2021-04-12,2021-04-14 12:31:18
0.3%,34.2%,28.8%,36.7%,Yuba,2021-04-13,2021-04-12,2021-04-14 12:31:21
