0-17,18-49,50-64,65+,County,Date Updated,Date Data,Date Scraped
0.7%,43.9%,26.7%,28.7%,Alameda,2021-04-09,2021-04-08,2021-04-10 08:22:58
0.1%,36.5%,35.0%,28.4%,Alpine,2021-04-09,2021-04-08,2021-04-10 08:23:00
0.1%,19.4%,26.1%,54.4%,Amador,2021-04-09,2021-04-08,2021-04-10 08:23:03
0.7%,35.2%,24.8%,39.3%,Butte,2021-04-09,2021-04-08,2021-04-10 08:23:05
0.4%,16.8%,27.2%,55.6%,Calaveras,2021-04-09,2021-04-08,2021-04-10 08:23:08
0.2%,37.9%,27.0%,34.9%,Colusa,2021-04-09,2021-04-08,2021-04-10 08:23:10
1.1%,38.5%,29.1%,31.3%,Contra Costa,2021-04-09,2021-04-08,2021-04-10 08:23:13
0.1%,26.2%,28.0%,45.6%,Del Norte,2021-04-09,2021-04-08,2021-04-10 08:23:15
0.5%,25.6%,28.5%,45.3%,El Dorado,2021-04-09,2021-04-08,2021-04-10 08:23:17
0.6%,42.2%,26.6%,30.6%,Fresno,2021-04-09,2021-04-08,2021-04-10 08:23:20
0.7%,40.0%,27.0%,32.3%,Glenn,2021-04-09,2021-04-08,2021-04-10 08:23:22
0.4%,36.7%,23.6%,39.3%,Humboldt,2021-04-09,2021-04-08,2021-04-10 08:23:25
0.3%,41.7%,26.2%,31.7%,Imperial,2021-04-09,2021-04-08,2021-04-10 08:23:27
0.3%,28.9%,25.7%,45.1%,Inyo,2021-04-09,2021-04-08,2021-04-10 08:23:30
1.0%,41.6%,27.0%,30.3%,Kern,2021-04-09,2021-04-08,2021-04-10 08:23:32
0.6%,44.0%,28.9%,26.5%,Kings,2021-04-09,2021-04-08,2021-04-10 08:23:35
0.2%,24.7%,28.4%,46.6%,Lake,2021-04-09,2021-04-08,2021-04-10 08:23:37
0.1%,24.3%,27.7%,48.0%,Lassen,2021-04-09,2021-04-08,2021-04-10 08:23:39
0.6%,43.1%,27.5%,28.7%,Los Angeles,2021-04-09,2021-04-08,2021-04-10 08:23:42
0.5%,36.1%,26.8%,36.6%,Madera,2021-04-09,2021-04-08,2021-04-10 08:23:44
1.2%,33.1%,29.4%,36.3%,Marin,2021-04-09,2021-04-08,2021-04-10 08:23:47
0.2%,19.8%,25.4%,54.7%,Mariposa,2021-04-09,2021-04-08,2021-04-10 08:23:49
0.6%,32.5%,24.8%,42.1%,Mendocino,2021-04-09,2021-04-08,2021-04-10 08:23:52
0.5%,41.5%,26.3%,31.7%,Merced,2021-04-09,2021-04-08,2021-04-10 08:23:55
0.1%,20.4%,26.7%,52.8%,Modoc,2021-04-09,2021-04-08,2021-04-10 08:23:58
1.4%,46.4%,29.4%,22.8%,Mono,2021-04-09,2021-04-08,2021-04-10 08:24:00
0.6%,43.1%,26.1%,30.2%,Monterey,2021-04-09,2021-04-08,2021-04-10 08:24:02
0.5%,37.7%,26.0%,35.8%,Napa,2021-04-09,2021-04-08,2021-04-10 08:24:05
0.7%,40.0%,27.0%,32.3%,Nevada,2021-04-09,2021-04-08,2021-04-10 08:24:07
0.7%,39.5%,27.2%,32.7%,Orange,2021-04-09,2021-04-08,2021-04-10 08:24:10
0.6%,29.7%,26.2%,43.5%,Placer,2021-04-09,2021-04-08,2021-04-10 08:24:12
0.1%,20.8%,23.8%,55.4%,Plumas,2021-04-09,2021-04-08,2021-04-10 08:24:15
0.8%,34.8%,27.7%,36.7%,Riverside,2021-04-09,2021-04-08,2021-04-10 08:24:17
0.7%,38.7%,26.9%,33.8%,Sacramento,2021-04-09,2021-04-08,2021-04-10 08:24:20
0.4%,40.3%,27.8%,31.5%,San Benito,2021-04-09,2021-04-08,2021-04-10 08:24:22
0.7%,38.9%,28.7%,31.7%,San Bernardino,2021-04-09,2021-04-08,2021-04-10 08:24:25
