American Indian or Alaska Native (AI/AN),Asian American,Black,Latino,Multi-race,Native Hawaiian or Other Pacific Islander (NHPI),White,Other,Unknown,County,Date Updated,Date Data,Date Scraped
0.2%,21.2%,5.7%,10.5%,11%,0.5%,26.4%,8.8%,15.6%,Alameda,2021-03-20,2021-03-19,2021-03-21 02:34:01
1.9%,0.6%,0%,0.3%,0.3%,0%,17.5%,1%,78.3%,Alpine,2021-03-20,2021-03-18,2021-03-21 02:34:04
0.9%,1.4%,0.3%,7.1%,4.5%,0.3%,66.9%,9.1%,9.6%,Amador,2021-03-20,2021-03-19,2021-03-21 02:34:08
1.2%,2.1%,0.7%,7.3%,17%,0.1%,57%,7.9%,6.7%,Butte,2021-03-20,2021-03-19,2021-03-21 02:34:11
0.3%,12%,3%,18.9%,12.5%,0.4%,30.8%,10.7%,11.5%,Calaveras,2021-03-20,2021-03-19,2021-03-21 02:34:15
1.1%,0.7%,0.5%,27.1%,5.8%,0.1%,33.5%,5.4%,26%,Colusa,2021-03-20,2021-03-19,2021-03-21 02:34:19
0.2%,11.2%,4.6%,12.2%,12.2%,0.5%,35.7%,7.9%,15.6%,Contra Costa,2021-03-20,2021-03-19,2021-03-21 02:34:23
7.5%,1.7%,0.6%,5.2%,8.3%,0.2%,61%,2.4%,13.1%,Del Norte,2021-03-20,2021-03-19,2021-03-21 02:34:26
0.3%,2.8%,0.5%,5%,14.2%,0.3%,51.4%,8%,17.6%,El Dorado,2021-03-20,2021-03-19,2021-03-21 02:34:30
0.5%,7.1%,2.1%,31.5%,10.1%,0.2%,29.2%,7.7%,11.7%,Fresno,2021-03-20,2021-03-19,2021-03-21 02:34:34
2.3%,1.1%,0.2%,20.2%,9%,0.1%,46.4%,10.2%,10.6%,Glenn,2021-03-20,2021-03-19,2021-03-21 02:34:37
3.4%,1.3%,0.6%,5.8%,14.5%,0.2%,64.3%,3.1%,6.8%,Humboldt,2021-03-20,2021-03-19,2021-03-21 02:34:41
0.1%,0.7%,0.5%,68.9%,2.5%,0.1%,9.8%,5.9%,11.6%,Imperial,2021-03-20,2021-03-19,2021-03-21 02:34:44
1.1%,0.8%,0.2%,8.8%,22.3%,0.1%,54.2%,5%,7.5%,Inyo,2021-03-20,2021-03-19,2021-03-21 02:34:48
0.4%,4.1%,2.3%,30.2%,12.3%,0.2%,29.9%,11.1%,9.5%,Kern,2021-03-20,2021-03-19,2021-03-21 02:34:52
0.8%,2.7%,2%,41.3%,7.4%,0.2%,27.5%,5.8%,12.4%,Kings,2021-03-20,2021-03-19,2021-03-21 02:34:55
1.8%,1%,1.1%,16.1%,15.5%,0.1%,55.9%,3.2%,5.3%,Lake,2021-03-20,2021-03-19,2021-03-21 02:34:59
1.1%,1.3%,0.7%,6.1%,8%,0.3%,61%,3.7%,17.9%,Lassen,2021-03-20,2021-03-19,2021-03-21 02:35:03
0.2%,12.5%,4.3%,24.4%,18.5%,0.4%,19.6%,13.9%,6.2%,Los Angeles,2021-03-20,2021-03-19,2021-03-21 02:35:06
1%,1.8%,1.4%,32.9%,7.1%,0.2%,35.3%,7.8%,12.5%,Madera,2021-03-20,2021-03-19,2021-03-21 02:35:10
0.1%,4%,1%,8.2%,12.3%,0.2%,52.2%,6.4%,15.7%,Marin,2021-03-20,2021-03-19,2021-03-21 02:35:13
1.9%,0.9%,0.3%,7.2%,2.5%,0.1%,62.1%,5.3%,19.6%,Mariposa,2021-03-20,2021-03-19,2021-03-21 02:35:17
