Female,Male,Unknown/undifferentiated,County,Date Updated,Date Data,Date Scraped
56.5%,43.1%,0.3%,Alameda,2021-03-31,2021-03-30,2021-04-01 04:26:22
46.8%,52.8%,0.4%,Alpine,2021-03-31,2021-03-29,2021-04-01 04:26:24
55.8%,44.0%,0.1%,Amador,2021-03-31,2021-03-30,2021-04-01 04:26:27
56.4%,43.5%,0.1%,Butte,2021-03-31,2021-03-30,2021-04-01 04:26:29
54.6%,44.6%,0.8%,Calaveras,2021-03-31,2021-03-30,2021-04-01 04:26:32
51.3%,46.9%,1.7%,Colusa,2021-03-31,2021-03-30,2021-04-01 04:26:35
55.6%,44.0%,0.4%,Contra Costa,2021-03-31,2021-03-30,2021-04-01 04:26:37
53.9%,46.0%,0.1%,Del Norte,2021-03-31,2021-03-30,2021-04-01 04:26:40
55.3%,44.6%,0.1%,El Dorado,2021-03-31,2021-03-30,2021-04-01 04:26:42
55.6%,44.0%,0.4%,Fresno,2021-03-31,2021-03-30,2021-04-01 04:26:45
55.1%,44.7%,0.1%,Glenn,2021-03-31,2021-03-30,2021-04-01 04:26:47
57.4%,42.5%,0.1%,Humboldt,2021-03-31,2021-03-30,2021-04-01 04:26:49
53.9%,46.0%,0.0%,Imperial,2021-03-31,2021-03-30,2021-04-01 04:26:52
52.7%,47.2%,0.1%,Inyo,2021-03-31,2021-03-30,2021-04-01 04:26:54
55.1%,44.3%,0.6%,Kern,2021-03-31,2021-03-30,2021-04-01 04:26:57
54.5%,45.1%,0.3%,Kings,2021-03-31,2021-03-30,2021-04-01 04:26:59
54.2%,45.7%,0.1%,Lake,2021-03-31,2021-03-30,2021-04-01 04:27:02
55.6%,44.0%,0.4%,Lassen,2021-03-31,2021-03-30,2021-04-01 04:27:04
55.7%,44.1%,0.2%,Los Angeles,2021-03-31,2021-03-30,2021-04-01 04:27:06
54.8%,45.1%,0.1%,Madera,2021-03-31,2021-03-30,2021-04-01 04:27:09
55.6%,44.0%,0.4%,Marin,2021-03-31,2021-03-30,2021-04-01 04:27:11
53.8%,45.8%,0.4%,Mariposa,2021-03-31,2021-03-30,2021-04-01 04:27:14
53.9%,45.4%,0.8%,Mendocino,2021-03-31,2021-03-30,2021-04-01 04:27:16
55.0%,44.6%,0.4%,Merced,2021-03-31,2021-03-30,2021-04-01 04:27:19
52.7%,47.3%,0.0%,Modoc,2021-03-31,2021-03-30,2021-04-01 04:27:21
47.3%,52.6%,0.0%,Mono,2021-03-31,2021-03-30,2021-04-01 04:27:24
53.9%,43.1%,3.0%,Monterey,2021-03-31,2021-03-30,2021-04-01 04:27:26
53.3%,46.6%,0.1%,Napa,2021-03-31,2021-03-30,2021-04-01 04:27:29
56.3%,43.6%,0.1%,Nevada,2021-03-31,2021-03-30,2021-04-01 04:27:32
55.3%,43.8%,0.9%,Orange,2021-03-31,2021-03-30,2021-04-01 04:27:34
56.9%,43.1%,0.1%,Placer,2021-03-31,2021-03-30,2021-04-01 04:27:37
55.6%,44.0%,0.4%,Plumas,2021-03-31,2021-03-30,2021-04-01 04:27:39
55.2%,44.7%,0.1%,Riverside,2021-03-31,2021-03-30,2021-04-01 04:27:42
57.0%,42.8%,0.2%,Sacramento,2021-03-31,2021-03-30,2021-04-01 04:27:44
56.1%,43.6%,0.3%,San Benito,2021-03-31,2021-03-30,2021-04-01 04:27:46
56.7%,43.2%,0.1%,San Bernardino,2021-03-31,2021-03-30,2021-04-01 04:27:49
56.9%,42.4%,0.8%,San Diego,2021-03-31,2021-03-30,2021-04-01 04:27:51
52.6%,47.1%,0.3%,San Francisco,2021-03-31,2021-03-30,2021-04-01 04:27:54
56.2%,42.9%,0.8%,San Joaquin,2021-03-31,2021-03-30,2021-04-01 04:27:56
56.0%,43.8%,0.1%,San Luis Obispo,2021-03-31,2021-03-30,2021-04-01 04:27:59
56.4%,43.5%,0.1%,San Mateo,2021-03-31,2021-03-30,2021-04-01 04:28:01
55.7%,44.1%,0.1%,Santa Barbara,2021-03-31,2021-03-30,2021-04-01 04:28:03
56.3%,43.6%,0.1%,Santa Clara,2021-03-31,2021-03-30,2021-04-01 04:28:06
56.6%,43.0%,0.4%,Santa Cruz,2021-03-31,2021-03-30,2021-04-01 04:28:09
57.1%,42.8%,0.1%,Shasta,2021-03-31,2021-03-30,2021-04-01 04:28:11
52.2%,47.7%,0.2%,Sierra,2021-03-31,2021-03-30,2021-04-01 04:28:13
54.6%,45.4%,0.1%,Siskiyou,2021-03-31,2021-03-30,2021-04-01 04:28:16
56.8%,42.8%,0.4%,Solano,2021-03-31,2021-03-30,2021-04-01 04:28:18
56.4%,43.6%,0.1%,Sonoma,2021-03-31,2021-03-30,2021-04-01 04:28:21
56.1%,43.5%,0.4%,Stanislaus,2021-03-31,2021-03-30,2021-04-01 04:28:23
55.4%,44.2%,0.4%,Sutter,2021-03-31,2021-03-30,2021-04-01 04:28:26
55.4%,44.5%,0.1%,Tehama,2021-03-31,2021-03-30,2021-04-01 04:28:29
50.5%,49.4%,0.2%,Trinity,2021-03-31,2021-03-30,2021-04-01 04:28:31
54.8%,45.2%,0.0%,Tulare,2021-03-31,2021-03-30,2021-04-01 04:28:34
54.7%,45.2%,0.1%,Tuolumne,2021-03-31,2021-03-30,2021-04-01 04:28:36
55.7%,44.3%,0.0%,Ventura,2021-03-31,2021-03-30,2021-04-01 04:28:39
55.1%,41.4%,3.6%,Yolo,2021-03-31,2021-03-30,2021-04-01 04:28:42
57.1%,42.6%,0.3%,Yuba,2021-03-31,2021-03-30,2021-04-01 04:28:44
