0-17,18-49,50-64,65+,County,Date Updated,Date Data,Date Scraped
0.4%,38.0%,23.9%,37.7%,Alameda,2021-03-30,2021-03-29,2021-03-30 18:35:03
0.1%,34.7%,33.9%,31.3%,Alpine,2021-03-30,2021-03-25,2021-03-30 18:35:06
0.1%,17.9%,24.0%,58.0%,Amador,2021-03-30,2021-03-29,2021-03-30 18:35:08
0.2%,31.8%,24.3%,43.7%,Butte,2021-03-30,2021-03-29,2021-03-30 18:35:10
0.3%,15.9%,22.0%,61.8%,Calaveras,2021-03-30,2021-03-29,2021-03-30 18:35:13
0.1%,35.3%,24.3%,40.3%,Colusa,2021-03-30,2021-03-29,2021-03-30 18:35:15
0.5%,34.0%,26.8%,38.7%,Contra Costa,2021-03-30,2021-03-29,2021-03-30 18:35:18
0.1%,24.2%,25.3%,50.4%,Del Norte,2021-03-30,2021-03-29,2021-03-30 18:35:20
0.4%,24.4%,25.2%,50.1%,El Dorado,2021-03-30,2021-03-29,2021-03-30 18:35:23
0.5%,40.4%,25.2%,33.9%,Fresno,2021-03-30,2021-03-29,2021-03-30 18:35:25
0.2%,30.5%,25.0%,44.3%,Glenn,2021-03-30,2021-03-29,2021-03-30 18:35:28
0.1%,34.3%,19.8%,45.7%,Humboldt,2021-03-30,2021-03-29,2021-03-30 18:35:30
0.2%,39.2%,23.6%,37.0%,Imperial,2021-03-30,2021-03-29,2021-03-30 18:35:32
0.3%,27.7%,21.6%,50.4%,Inyo,2021-03-30,2021-03-29,2021-03-30 18:35:35
0.6%,39.4%,25.1%,34.9%,Kern,2021-03-30,2021-03-29,2021-03-30 18:35:37
0.4%,42.5%,27.8%,29.3%,Kings,2021-03-30,2021-03-29,2021-03-30 18:35:40
0.2%,24.3%,24.1%,51.5%,Lake,2021-03-30,2021-03-29,2021-03-30 18:35:42
0.1%,22.9%,25.6%,51.4%,Lassen,2021-03-30,2021-03-29,2021-03-30 18:35:44
0.4%,41.4%,24.2%,34.0%,Los Angeles,2021-03-30,2021-03-29,2021-03-30 18:35:47
0.3%,34.3%,25.2%,40.2%,Madera,2021-03-30,2021-03-29,2021-03-30 18:35:49
1.0%,31.0%,25.4%,42.7%,Marin,2021-03-30,2021-03-29,2021-03-30 18:35:51
0.2%,18.3%,23.0%,58.6%,Mariposa,2021-03-30,2021-03-29,2021-03-30 18:35:54
0.6%,33.4%,24.4%,41.6%,Mendocino,2021-03-30,2021-03-29,2021-03-30 18:35:56
0.5%,38.9%,25.6%,35.0%,Merced,2021-03-30,2021-03-29,2021-03-30 18:35:59
0.1%,19.0%,25.5%,55.4%,Modoc,2021-03-30,2021-03-26,2021-03-30 18:36:01
1.5%,45.3%,28.4%,24.8%,Mono,2021-03-30,2021-03-27,2021-03-30 18:36:04
0.3%,40.9%,23.2%,35.6%,Monterey,2021-03-30,2021-03-29,2021-03-30 18:36:06
0.3%,36.3%,23.6%,39.8%,Napa,2021-03-30,2021-03-29,2021-03-30 18:36:08
0.4%,22.3%,20.9%,56.4%,Nevada,2021-03-30,2021-03-29,2021-03-30 18:36:11
0.4%,37.4%,24.1%,38.1%,Orange,2021-03-30,2021-03-29,2021-03-30 18:36:13
0.5%,28.6%,22.6%,48.3%,Placer,2021-03-30,2021-03-29,2021-03-30 18:36:16
0.1%,20.0%,20.1%,59.7%,Plumas,2021-03-30,2021-03-29,2021-03-30 18:36:18
0.3%,32.3%,24.3%,43.1%,Riverside,2021-03-30,2021-03-29,2021-03-30 18:36:20
0.5%,37.2%,24.4%,37.9%,Sacramento,2021-03-30,2021-03-29,2021-03-30 18:36:23
0.2%,38.4%,24.8%,36.6%,San Benito,2021-03-30,2021-03-29,2021-03-30 18:36:25
0.5%,37.5%,25.1%,37.0%,San Bernardino,2021-03-30,2021-03-29,2021-03-30 18:36:28
0.4%,36.6%,21.5%,41.5%,San Diego,2021-03-30,2021-03-29,2021-03-30 18:36:30
0.3%,45.4%,22.7%,31.7%,San Francisco,2021-03-30,2021-03-29,2021-03-30 18:36:32
0.5%,36.2%,25.9%,37.4%,San Joaquin,2021-03-30,2021-03-29,2021-03-30 18:36:35
0.2%,27.4%,19.7%,52.6%,San Luis Obispo,2021-03-30,2021-03-29,2021-03-30 18:36:37
0.5%,38.6%,23.7%,37.2%,San Mateo,2021-03-30,2021-03-29,2021-03-30 18:36:40
0.2%,34.6%,21.0%,44.1%,Santa Barbara,2021-03-30,2021-03-29,2021-03-30 18:36:42
0.5%,38.1%,23.7%,37.7%,Santa Clara,2021-03-30,2021-03-29,2021-03-30 18:36:45
0.4%,35.7%,22.8%,41.1%,Santa Cruz,2021-03-30,2021-03-29,2021-03-30 18:36:47
0.3%,23.1%,22.2%,54.4%,Shasta,2021-03-30,2021-03-29,2021-03-30 18:36:50
0.0%,20.6%,27.8%,51.7%,Sierra,2021-03-30,2021-03-29,2021-03-30 18:36:52
0.4%,21.9%,22.9%,54.8%,Siskiyou,2021-03-30,2021-03-29,2021-03-30 18:36:54
0.3%,33.8%,26.4%,39.5%,Solano,2021-03-30,2021-03-29,2021-03-30 18:36:57
0.4%,32.8%,23.8%,43.0%,Sonoma,2021-03-30,2021-03-29,2021-03-30 18:36:59
0.6%,35.3%,26.0%,38.1%,Stanislaus,2021-03-30,2021-03-29,2021-03-30 18:37:02
0.2%,31.6%,25.8%,42.4%,Sutter,2021-03-30,2021-03-29,2021-03-30 18:37:04
0.1%,24.9%,25.0%,50.0%,Tehama,2021-03-30,2021-03-29,2021-03-30 18:37:07
0.1%,19.6%,21.9%,58.4%,Trinity,2021-03-30,2021-03-28,2021-03-30 18:37:09
0.6%,41.6%,26.0%,31.8%,Tulare,2021-03-30,2021-03-29,2021-03-30 18:37:12
0.2%,19.3%,25.1%,55.5%,Tuolumne,2021-03-30,2021-03-29,2021-03-30 18:37:14
0.5%,35.9%,23.5%,40.1%,Ventura,2021-03-30,2021-03-29,2021-03-30 18:37:17
0.5%,43.5%,22.2%,33.8%,Yolo,2021-03-30,2021-03-29,2021-03-30 18:37:19
0.2%,29.6%,25.3%,44.9%,Yuba,2021-03-30,2021-03-29,2021-03-30 18:37:22
