0-17,18-49,50-64,65+,County,Date Updated,Date Data,Date Scraped
0.1%,37.9%,20.5%,41.5%,Alameda,2021-03-18,2021-03-17,2021-03-19 04:22:40
0.2%,30.9%,29.7%,39.2%,Alpine,2021-03-18,2021-03-17,2021-03-19 04:22:44
0%,14.6%,16.9%,68.4%,Amador,2021-03-18,2021-03-17,2021-03-19 04:22:48
0.1%,29.7%,19.4%,50.8%,Butte,2021-03-18,2021-03-17,2021-03-19 04:22:51
0.1%,12.5%,16.5%,70.9%,Calaveras,2021-03-18,2021-03-17,2021-03-19 04:22:55
0.1%,31.4%,21.7%,46.8%,Colusa,2021-03-18,2021-03-17,2021-03-19 04:22:59
0.1%,30.3%,21.6%,47.9%,Contra Costa,2021-03-18,2021-03-17,2021-03-19 04:23:02
0.1%,23.2%,22.9%,53.8%,Del Norte,2021-03-18,2021-03-17,2021-03-19 04:23:06
0.1%,20.8%,20.3%,58.8%,El Dorado,2021-03-18,2021-03-17,2021-03-19 04:23:09
0.1%,36.8%,23.3%,39.7%,Fresno,2021-03-18,2021-03-17,2021-03-19 04:23:13
0.1%,25%,20.1%,54.9%,Glenn,2021-03-18,2021-03-17,2021-03-19 04:23:16
0%,30.5%,18.2%,51.2%,Humboldt,2021-03-18,2021-03-17,2021-03-19 04:23:20
0%,33.4%,19.1%,47.4%,Imperial,2021-03-18,2021-03-17,2021-03-19 04:23:24
0.1%,24%,17.2%,58.8%,Inyo,2021-03-18,2021-03-17,2021-03-19 04:23:27
0.1%,34.8%,22.3%,42.8%,Kern,2021-03-18,2021-03-17,2021-03-19 04:23:31
0.1%,37.2%,25.7%,37%,Kings,2021-03-18,2021-03-17,2021-03-19 04:23:35
0%,21.6%,19%,59.3%,Lake,2021-03-18,2021-03-17,2021-03-19 04:23:38
0%,19.5%,19.6%,60.9%,Lassen,2021-03-18,2021-03-17,2021-03-19 04:23:42
0.1%,36.1%,20.8%,43%,Los Angeles,2021-03-18,2021-03-17,2021-03-19 04:23:46
0.1%,29.3%,22.2%,48.4%,Madera,2021-03-18,2021-03-17,2021-03-19 04:23:49
0.3%,24.9%,21.6%,53.2%,Marin,2021-03-18,2021-03-17,2021-03-19 04:23:52
0.1%,16.6%,16.9%,66.2%,Mariposa,2021-03-18,2021-03-17,2021-03-19 04:23:56
0.3%,31.9%,23%,44.8%,Mendocino,2021-03-18,2021-03-17,2021-03-19 04:24:00
0.2%,31.9%,22.3%,45.6%,Merced,2021-03-18,2021-03-17,2021-03-19 04:24:03
0%,17.7%,23%,59.3%,Modoc,2021-03-18,2021-03-17,2021-03-19 04:24:07
0.2%,38.4%,29.2%,32.2%,Mono,2021-03-18,2021-03-17,2021-03-19 04:24:10
0.1%,33%,20.3%,46.6%,Monterey,2021-03-18,2021-03-17,2021-03-19 04:24:14
0.1%,31.1%,21%,47.8%,Napa,2021-03-18,2021-03-17,2021-03-19 04:24:17
0.1%,17.8%,15.7%,66.3%,Nevada,2021-03-18,2021-03-17,2021-03-19 04:24:21
0.1%,30.9%,19.2%,49.8%,Orange,2021-03-18,2021-03-17,2021-03-19 04:24:24
0.1%,24.3%,18.2%,57.4%,Placer,2021-03-18,2021-03-17,2021-03-19 04:24:28
0%,18.6%,15.8%,65.6%,Plumas,2021-03-18,2021-03-17,2021-03-19 04:24:31
0.1%,28%,19.9%,52.1%,Riverside,2021-03-18,2021-03-17,2021-03-19 04:24:35
0.1%,32.9%,21.3%,45.7%,Sacramento,2021-03-18,2021-03-17,2021-03-19 04:24:38
0%,32.8%,20.7%,46.4%,San Benito,2021-03-18,2021-03-17,2021-03-19 04:24:42
0.1%,33.2%,21.6%,45.1%,San Bernardino,2021-03-18,2021-03-17,2021-03-19 04:24:45
0.1%,33%,20.3%,46.6%,San Diego,2021-03-18,2021-03-17,2021-03-19 04:24:49
0.1%,40.3%,20.6%,38.9%,San Francisco,2021-03-18,2021-03-17,2021-03-19 04:24:53
0.2%,30.4%,22.1%,47.3%,San Joaquin,2021-03-18,2021-03-17,2021-03-19 04:24:56
0%,21.8%,14.9%,63.2%,San Luis Obispo,2021-03-18,2021-03-17,2021-03-19 04:24:59
0.2%,34.2%,20.9%,44.7%,San Mateo,2021-03-18,2021-03-17,2021-03-19 04:25:03
0.1%,26.9%,15.9%,57.2%,Santa Barbara,2021-03-18,2021-03-17,2021-03-19 04:25:06
0.1%,32%,19.9%,48%,Santa Clara,2021-03-18,2021-03-17,2021-03-19 04:25:10
0.1%,31.5%,19.2%,49.3%,Santa Cruz,2021-03-18,2021-03-17,2021-03-19 04:25:13
0.1%,21.2%,19.5%,59.2%,Shasta,2021-03-18,2021-03-17,2021-03-19 04:25:17
