Female,Male,Unknown/undifferentiated,County,Date Updated,Date Data,Date Scraped
56.7%,43.0%,0.3%,Alameda,2021-03-30,2021-03-29,2021-03-30 20:22:18
46.7%,52.8%,0.4%,Alpine,2021-03-30,2021-03-25,2021-03-30 20:22:20
55.8%,44.0%,0.1%,Amador,2021-03-30,2021-03-29,2021-03-30 20:22:23
56.5%,43.5%,0.1%,Butte,2021-03-30,2021-03-29,2021-03-30 20:22:25
54.7%,44.6%,0.8%,Calaveras,2021-03-30,2021-03-29,2021-03-30 20:22:28
51.8%,46.4%,1.8%,Colusa,2021-03-30,2021-03-29,2021-03-30 20:22:30
56.7%,43.2%,0.1%,Contra Costa,2021-03-30,2021-03-29,2021-03-30 20:22:33
54.0%,45.9%,0.1%,Del Norte,2021-03-30,2021-03-29,2021-03-30 20:22:37
55.3%,44.6%,0.1%,El Dorado,2021-03-30,2021-03-29,2021-03-30 20:22:39
55.6%,44.3%,0.1%,Fresno,2021-03-30,2021-03-29,2021-03-30 20:22:42
55.2%,44.6%,0.1%,Glenn,2021-03-30,2021-03-29,2021-03-30 20:22:44
57.6%,42.3%,0.1%,Humboldt,2021-03-30,2021-03-29,2021-03-30 20:22:47
54.0%,46.0%,0.0%,Imperial,2021-03-30,2021-03-29,2021-03-30 20:22:49
53.0%,46.9%,0.1%,Inyo,2021-03-30,2021-03-29,2021-03-30 20:22:52
55.1%,44.3%,0.6%,Kern,2021-03-30,2021-03-29,2021-03-30 20:22:54
54.6%,45.0%,0.4%,Kings,2021-03-30,2021-03-29,2021-03-30 20:22:57
54.3%,45.6%,0.1%,Lake,2021-03-30,2021-03-29,2021-03-30 20:22:59
52.4%,47.5%,0.2%,Lassen,2021-03-30,2021-03-29,2021-03-30 20:23:02
55.8%,44.0%,0.2%,Los Angeles,2021-03-30,2021-03-29,2021-03-30 20:23:04
54.9%,45.0%,0.1%,Madera,2021-03-30,2021-03-29,2021-03-30 20:23:07
56.3%,43.6%,0.1%,Marin,2021-03-30,2021-03-29,2021-03-30 20:23:09
53.8%,45.8%,0.4%,Mariposa,2021-03-30,2021-03-29,2021-03-30 20:23:12
54.0%,45.2%,0.8%,Mendocino,2021-03-30,2021-03-29,2021-03-30 20:23:14
55.0%,44.6%,0.4%,Merced,2021-03-30,2021-03-29,2021-03-30 20:23:17
52.7%,47.3%,0.0%,Modoc,2021-03-30,2021-03-26,2021-03-30 20:23:20
47.4%,52.6%,0.0%,Mono,2021-03-30,2021-03-27,2021-03-30 20:23:22
53.9%,43.1%,3.0%,Monterey,2021-03-30,2021-03-29,2021-03-30 20:23:25
53.3%,46.6%,0.1%,Napa,2021-03-30,2021-03-29,2021-03-30 20:23:27
56.4%,43.6%,0.1%,Nevada,2021-03-30,2021-03-29,2021-03-30 20:23:30
55.4%,43.7%,0.9%,Orange,2021-03-30,2021-03-29,2021-03-30 20:23:32
57.0%,43.0%,0.1%,Placer,2021-03-30,2021-03-29,2021-03-30 20:23:35
54.0%,46.0%,0.0%,Plumas,2021-03-30,2021-03-29,2021-03-30 20:23:38
55.2%,44.7%,0.1%,Riverside,2021-03-30,2021-03-29,2021-03-30 20:23:40
57.1%,42.7%,0.2%,Sacramento,2021-03-30,2021-03-29,2021-03-30 20:23:43
56.1%,43.6%,0.3%,San Benito,2021-03-30,2021-03-29,2021-03-30 20:23:45
56.8%,43.1%,0.1%,San Bernardino,2021-03-30,2021-03-29,2021-03-30 20:23:48
57.0%,42.3%,0.8%,San Diego,2021-03-30,2021-03-29,2021-03-30 20:23:51
52.7%,47.0%,0.3%,San Francisco,2021-03-30,2021-03-29,2021-03-30 20:23:53
56.3%,42.9%,0.8%,San Joaquin,2021-03-30,2021-03-29,2021-03-30 20:23:56
56.2%,43.7%,0.1%,San Luis Obispo,2021-03-30,2021-03-29,2021-03-30 20:23:59
56.5%,43.4%,0.1%,San Mateo,2021-03-30,2021-03-29,2021-03-30 20:24:01
56.0%,43.9%,0.1%,Santa Barbara,2021-03-30,2021-03-29,2021-03-30 20:24:05
56.4%,43.5%,0.1%,Santa Clara,2021-03-30,2021-03-29,2021-03-30 20:24:07
56.7%,42.9%,0.4%,Santa Cruz,2021-03-30,2021-03-29,2021-03-30 20:24:10
57.1%,42.7%,0.1%,Shasta,2021-03-30,2021-03-29,2021-03-30 20:24:12
52.0%,47.9%,0.2%,Sierra,2021-03-30,2021-03-29,2021-03-30 20:24:15
54.6%,45.4%,0.1%,Siskiyou,2021-03-30,2021-03-29,2021-03-30 20:24:17
56.9%,42.8%,0.3%,Solano,2021-03-30,2021-03-29,2021-03-30 20:24:20
56.4%,43.5%,0.1%,Sonoma,2021-03-30,2021-03-29,2021-03-30 20:24:22
56.1%,43.5%,0.4%,Stanislaus,2021-03-30,2021-03-29,2021-03-30 20:24:25
55.4%,44.2%,0.4%,Sutter,2021-03-30,2021-03-29,2021-03-30 20:24:28
55.6%,44.4%,0.1%,Tehama,2021-03-30,2021-03-29,2021-03-30 20:24:30
50.5%,49.4%,0.2%,Trinity,2021-03-30,2021-03-28,2021-03-30 20:24:33
54.9%,45.1%,0.0%,Tulare,2021-03-30,2021-03-29,2021-03-30 20:24:35
54.7%,45.2%,0.1%,Tuolumne,2021-03-30,2021-03-29,2021-03-30 20:24:38
55.8%,44.2%,0.0%,Ventura,2021-03-30,2021-03-29,2021-03-30 20:24:41
55.1%,41.3%,3.6%,Yolo,2021-03-30,2021-03-29,2021-03-30 20:24:43
57.2%,42.6%,0.3%,Yuba,2021-03-30,2021-03-29,2021-03-30 20:24:46
