Female,Male,Unknown/undifferentiated,County,Date Updated,Date Data,Date Scraped
55.6%,44.0%,0.3%,Alameda,2021-04-06,2021-04-05,2021-04-07 06:25:15
46.8%,52.8%,0.4%,Alpine,2021-04-06,2021-04-02,2021-04-07 06:25:18
55.6%,44.2%,0.1%,Amador,2021-04-06,2021-04-05,2021-04-07 06:25:20
55.8%,44.1%,0.1%,Butte,2021-04-06,2021-04-05,2021-04-07 06:25:23
54.4%,44.9%,0.7%,Calaveras,2021-04-06,2021-04-05,2021-04-07 06:25:26
50.7%,47.7%,1.5%,Colusa,2021-04-06,2021-04-05,2021-04-07 06:25:28
55.8%,44.0%,0.1%,Contra Costa,2021-04-06,2021-04-05,2021-04-07 06:25:31
53.7%,46.2%,0.1%,Del Norte,2021-04-06,2021-04-05,2021-04-07 06:25:33
55.0%,44.9%,0.1%,El Dorado,2021-04-06,2021-04-05,2021-04-07 06:25:36
55.3%,44.7%,0.1%,Fresno,2021-04-06,2021-04-05,2021-04-07 06:25:38
54.7%,45.1%,0.1%,Glenn,2021-04-06,2021-04-05,2021-04-07 06:25:41
56.4%,43.5%,0.1%,Humboldt,2021-04-06,2021-04-05,2021-04-07 06:25:44
53.4%,46.6%,0.04%,Imperial,2021-04-06,2021-04-05,2021-04-07 06:25:46
52.6%,47.3%,0.1%,Inyo,2021-04-06,2021-04-05,2021-04-07 06:25:49
54.6%,44.8%,0.6%,Kern,2021-04-06,2021-04-05,2021-04-07 06:25:52
54.3%,45.3%,0.3%,Kings,2021-04-06,2021-04-05,2021-04-07 06:25:54
54.0%,46.0%,0.1%,Lake,2021-04-06,2021-04-05,2021-04-07 06:25:57
52.5%,47.3%,0.2%,Lassen,2021-04-06,2021-04-05,2021-04-07 06:25:59
55.1%,44.7%,0.2%,Los Angeles,2021-04-06,2021-04-05,2021-04-07 06:26:02
54.6%,45.3%,0.1%,Madera,2021-04-06,2021-04-05,2021-04-07 06:26:04
55.7%,44.2%,0.1%,Marin,2021-04-06,2021-04-05,2021-04-07 06:26:07
53.5%,46.1%,0.4%,Mariposa,2021-04-06,2021-04-05,2021-04-07 06:26:10
53.8%,45.5%,0.7%,Mendocino,2021-04-06,2021-04-05,2021-04-07 06:26:12
54.9%,44.7%,0.4%,Merced,2021-04-06,2021-04-05,2021-04-07 06:26:15
52.5%,47.5%,0.000%,Modoc,2021-04-06,2021-04-01,2021-04-07 06:26:17
47.4%,52.6%,0.02%,Mono,2021-04-06,2021-04-05,2021-04-07 06:26:20
53.3%,43.9%,2.8%,Monterey,2021-04-06,2021-04-05,2021-04-07 06:26:22
53.3%,46.7%,0.1%,Napa,2021-04-06,2021-04-05,2021-04-07 06:26:25
55.8%,44.1%,0.1%,Nevada,2021-04-06,2021-04-05,2021-04-07 06:26:27
54.9%,44.2%,0.9%,Orange,2021-04-06,2021-04-05,2021-04-07 06:26:30
56.6%,43.4%,0.1%,Placer,2021-04-06,2021-04-05,2021-04-07 06:26:32
54.0%,45.9%,0.1%,Plumas,2021-04-06,2021-04-05,2021-04-07 06:26:35
54.8%,45.1%,0.1%,Riverside,2021-04-06,2021-04-05,2021-04-07 06:26:37
56.7%,43.1%,0.3%,Sacramento,2021-04-06,2021-04-05,2021-04-07 06:26:40
55.2%,44.5%,0.3%,San Benito,2021-04-06,2021-04-05,2021-04-07 06:26:42
56.2%,43.6%,0.2%,San Bernardino,2021-04-06,2021-04-05,2021-04-07 06:26:45
56.3%,42.9%,0.8%,San Diego,2021-04-06,2021-04-05,2021-04-07 06:26:47
52.0%,47.7%,0.3%,San Francisco,2021-04-06,2021-04-05,2021-04-07 06:26:50
55.8%,43.3%,0.9%,San Joaquin,2021-04-06,2021-04-05,2021-04-07 06:26:52
55.7%,44.2%,0.1%,San Luis Obispo,2021-04-06,2021-04-05,2021-04-07 06:26:55
55.7%,44.2%,0.1%,San Mateo,2021-04-06,2021-04-05,2021-04-07 06:26:57
55.2%,44.7%,0.1%,Santa Barbara,2021-04-06,2021-04-05,2021-04-07 06:27:00
55.3%,44.6%,0.1%,Santa Clara,2021-04-06,2021-04-05,2021-04-07 06:27:03
56.0%,43.6%,0.4%,Santa Cruz,2021-04-06,2021-04-05,2021-04-07 06:27:05
56.9%,43.0%,0.1%,Shasta,2021-04-06,2021-04-05,2021-04-07 06:27:08
52.1%,47.8%,0.2%,Sierra,2021-04-06,2021-04-05,2021-04-07 06:27:10
54.6%,45.4%,0.05%,Siskiyou,2021-04-06,2021-04-05,2021-04-07 06:27:13
56.4%,43.1%,0.6%,Solano,2021-04-06,2021-04-05,2021-04-07 06:27:15
55.9%,44.0%,0.1%,Sonoma,2021-04-06,2021-04-05,2021-04-07 06:27:18
55.7%,43.8%,0.5%,Stanislaus,2021-04-06,2021-04-05,2021-04-07 06:27:20
55.0%,44.6%,0.4%,Sutter,2021-04-06,2021-04-05,2021-04-07 06:27:23
55.3%,44.6%,0.1%,Tehama,2021-04-06,2021-04-05,2021-04-07 06:27:25
50.0%,49.9%,0.2%,Trinity,2021-04-06,2021-04-05,2021-04-07 06:27:28
54.6%,45.4%,0.1%,Tulare,2021-04-06,2021-04-05,2021-04-07 06:27:31
54.4%,45.4%,0.1%,Tuolumne,2021-04-06,2021-04-05,2021-04-07 06:27:33
55.2%,44.7%,0.05%,Ventura,2021-04-06,2021-04-05,2021-04-07 06:27:36
54.8%,42.0%,3.3%,Yolo,2021-04-06,2021-04-05,2021-04-07 06:27:38
56.5%,43.3%,0.2%,Yuba,2021-04-06,2021-04-05,2021-04-07 06:27:40
