American Indian or Alaska Native (AI/AN),Asian American,Black,Latino,Multi-race,Native Hawaiian or Other Pacific Islander (NHPI),White,Other,Unknown,County,Date Updated,Date Data,Date Scraped
0.2%,20.8%,5.6%,10.4%,10.5%,0.5%,25.5%,8.8%,17.6%,Alameda,2021-03-24,2021-03-23,2021-03-25 06:25:45
1.8%,0.6%,0.2%,0.6%,0.3%,0.0%,17.6%,0.9%,78.0%,Alpine,2021-03-24,2021-03-22,2021-03-25 06:25:47
0.8%,1.5%,0.4%,7.3%,4.1%,0.3%,67.3%,8.8%,9.6%,Amador,2021-03-24,2021-03-23,2021-03-25 06:25:50
1.1%,2.1%,0.7%,7.4%,16.3%,0.1%,56.8%,8.0%,7.4%,Butte,2021-03-24,2021-03-23,2021-03-25 06:25:52
0.4%,1.1%,0.4%,4.6%,1.5%,0.2%,53.6%,8.5%,29.8%,Calaveras,2021-03-24,2021-03-23,2021-03-25 06:25:55
1.1%,0.7%,0.4%,26.8%,5.6%,0.1%,33.0%,5.5%,26.8%,Colusa,2021-03-24,2021-03-23,2021-03-25 06:25:57
0.2%,10.9%,4.5%,12.4%,11.5%,0.6%,34.7%,7.8%,17.4%,Contra Costa,2021-03-24,2021-03-23,2021-03-25 06:26:00
7.1%,1.7%,0.5%,4.9%,7.9%,0.1%,60.9%,2.5%,14.2%,Del Norte,2021-03-24,2021-03-23,2021-03-25 06:26:02
0.2%,2.8%,0.5%,5.2%,13.4%,0.3%,50.3%,8.0%,19.5%,El Dorado,2021-03-24,2021-03-23,2021-03-25 06:26:04
0.5%,6.9%,2.1%,31.4%,9.3%,0.2%,28.9%,7.9%,12.8%,Fresno,2021-03-24,2021-03-23,2021-03-25 06:26:07
2.2%,1.1%,0.2%,20.6%,8.6%,0.1%,45.0%,10.2%,11.9%,Glenn,2021-03-24,2021-03-23,2021-03-25 06:26:09
3.4%,1.3%,0.6%,5.9%,14.2%,0.2%,64.1%,3.1%,7.1%,Humboldt,2021-03-24,2021-03-23,2021-03-25 06:26:11
0.1%,0.7%,0.4%,67.5%,2.3%,0.1%,9.7%,6.3%,12.9%,Imperial,2021-03-24,2021-03-23,2021-03-25 06:26:14
1.1%,0.9%,0.2%,8.8%,21.7%,0.2%,54.1%,5.1%,7.9%,Inyo,2021-03-24,2021-03-23,2021-03-25 06:26:16
0.3%,4.1%,2.3%,30.9%,11.6%,0.2%,29.3%,11.2%,10.0%,Kern,2021-03-24,2021-03-23,2021-03-25 06:26:19
0.8%,2.6%,2.0%,40.9%,6.8%,0.2%,27.4%,6.3%,13.1%,Kings,2021-03-24,2021-03-23,2021-03-25 06:26:21
1.7%,1.1%,1.2%,16.0%,14.9%,0.1%,55.7%,3.3%,5.9%,Lake,2021-03-24,2021-03-23,2021-03-25 06:26:23
1.1%,1.4%,0.7%,6.4%,7.7%,0.3%,60.1%,3.8%,18.6%,Lassen,2021-03-24,2021-03-23,2021-03-25 06:26:26
0.2%,12.4%,4.4%,24.6%,17.1%,0.4%,19.6%,14.3%,7.1%,Los Angeles,2021-03-24,2021-03-23,2021-03-25 06:26:28
0.9%,1.8%,1.5%,32.7%,6.6%,0.1%,34.5%,8.2%,13.7%,Madera,2021-03-24,2021-03-23,2021-03-25 06:26:30
0.1%,4.0%,1.0%,9.0%,11.6%,0.2%,50.3%,6.4%,17.6%,Marin,2021-03-24,2021-03-23,2021-03-25 06:26:33
1.9%,0.9%,0.3%,7.3%,2.4%,0.1%,60.9%,5.3%,20.9%,Mariposa,2021-03-24,2021-03-23,2021-03-25 06:26:35
0.8%,1.3%,0.3%,16.6%,13.7%,0.2%,50.4%,5.5%,11.2%,Mendocino,2021-03-24,2021-03-23,2021-03-25 06:26:38
0.3%,5.8%,1.6%,32.6%,0.5%,0.3%,25.8%,8.5%,24.7%,Merced,2021-03-24,2021-03-23,2021-03-25 06:26:40
2.3%,1.5%,1.0%,7.2%,4.7%,0.1%,71.9%,1.8%,9.4%,Modoc,2021-03-24,2021-03-23,2021-03-25 06:26:42
0.4%,1.3%,0.3%,21.5%,10.4%,0.1%,58.0%,1.7%,6.3%,Mono,2021-03-24,2021-03-23,2021-03-25 06:26:45
0.2%,4.3%,1.1%,35.0%,10.9%,0.5%,27.5%,7.1%,13.3%,Monterey,2021-03-24,2021-03-23,2021-03-25 06:26:47
0.1%,4.2%,0.9%,17.6%,7.1%,0.4%,41.5%,6.2%,22.1%,Napa,2021-03-24,2021-03-23,2021-03-25 06:26:49
0.7%,0.6%,0.2%,5.1%,16.9%,0.1%,62.1%,6.1%,8.1%,Nevada,2021-03-24,2021-03-23,2021-03-25 06:26:52
0.1%,18.4%,0.9%,12.7%,15.3%,0.3%,31.6%,10.3%,10.3%,Orange,2021-03-24,2021-03-23,2021-03-25 06:26:54
0.4%,5.3%,0.9%,9.0%,12.6%,0.4%,46.1%,7.9%,17.5%,Placer,2021-03-24,2021-03-23,2021-03-25 06:26:56
0.8%,0.6%,0.3%,1.9%,6.3%,0.0%,74.2%,3.6%,12.2%,Plumas,2021-03-24,2021-03-23,2021-03-25 06:26:59
0.3%,5.7%,3.7%,23.6%,13.8%,0.3%,32.8%,12.2%,7.6%,Riverside,2021-03-24,2021-03-23,2021-03-25 06:27:01
0.4%,10.6%,3.9%,8.1%,9.3%,0.9%,30.3%,11.0%,25.6%,Sacramento,2021-03-24,2021-03-23,2021-03-25 06:27:03
0.2%,2.1%,0.6%,29.3%,4.8%,0.2%,22.8%,10.6%,29.4%,San Benito,2021-03-24,2021-03-23,2021-03-25 06:27:06
0.2%,9.0%,4.8%,27.1%,13.1%,0.4%,25.6%,12.0%,7.8%,San Bernardino,2021-03-24,2021-03-23,2021-03-25 06:27:08
0.4%,11.6%,2.4%,19.8%,0.5%,0.6%,46.4%,9.5%,8.8%,San Diego,2021-03-24,2021-03-23,2021-03-25 06:27:11
0.2%,29.1%,3.1%,10.7%,7.6%,0.3%,26.5%,5.9%,16.7%,San Francisco,2021-03-24,2021-03-23,2021-03-25 06:27:13
0.3%,11.9%,3.0%,19.1%,11.6%,0.4%,30.5%,10.8%,12.4%,San Joaquin,2021-03-24,2021-03-23,2021-03-25 06:27:15
0.2%,1.1%,0.4%,6.5%,12.1%,0.1%,30.1%,15.1%,34.4%,San Luis Obispo,2021-03-24,2021-03-23,2021-03-25 06:27:18
0.2%,18.5%,1.2%,9.8%,14.1%,0.6%,29.2%,10.0%,16.6%,San Mateo,2021-03-24,2021-03-23,2021-03-25 06:27:20
0.3%,2.6%,0.8%,21.1%,18.0%,0.2%,34.4%,13.9%,8.7%,Santa Barbara,2021-03-24,2021-03-23,2021-03-25 06:27:23
0.1%,25.2%,1.4%,11.4%,12.8%,0.4%,24.5%,8.3%,16.0%,Santa Clara,2021-03-24,2021-03-23,2021-03-25 06:27:25
0.3%,11.9%,3.0%,19.1%,11.6%,0.4%,30.5%,10.8%,12.4%,Santa Cruz,2021-03-24,2021-03-23,2021-03-25 06:27:27
0.7%,1.3%,0.4%,3.2%,20.8%,0.1%,45.6%,12.9%,15.0%,Shasta,2021-03-24,2021-03-23,2021-03-25 06:27:30
0.6%,0.8%,0.1%,8.2%,9.0%,0.0%,74.0%,3.1%,4.3%,Sierra,2021-03-24,2021-03-23,2021-03-25 06:27:32
1.7%,0.9%,0.5%,5.6%,8.6%,0.0%,60.4%,4.4%,17.9%,Siskiyou,2021-03-24,2021-03-23,2021-03-25 06:27:35
0.3%,11.0%,6.6%,8.5%,7.2%,0.9%,27.5%,11.6%,26.3%,Solano,2021-03-24,2021-03-23,2021-03-25 06:27:37
0.5%,2.0%,0.7%,13.2%,11.4%,0.2%,44.3%,8.6%,19.1%,Sonoma,2021-03-24,2021-03-23,2021-03-25 06:27:39
0.5%,5.1%,1.7%,24.8%,0.6%,0.7%,36.8%,9.5%,20.4%,Stanislaus,2021-03-24,2021-03-23,2021-03-25 06:27:42
0.6%,13.4%,1.0%,16.5%,12.6%,0.3%,39.5%,7.4%,8.8%,Sutter,2021-03-24,2021-03-23,2021-03-25 06:27:44
1.1%,0.6%,0.2%,10.5%,9.0%,0.1%,49.9%,9.9%,18.7%,Tehama,2021-03-24,2021-03-23,2021-03-25 06:27:46
1.2%,0.9%,0.2%,2.3%,9.3%,0.3%,63.6%,3.1%,19.1%,Trinity,2021-03-24,2021-03-23,2021-03-25 06:27:49
0.2%,2.6%,0.7%,43.6%,6.3%,0.2%,30.3%,6.0%,10.1%,Tulare,2021-03-24,2021-03-23,2021-03-25 06:27:51
0.4%,1.3%,0.3%,4.4%,1.2%,0.4%,79.3%,6.3%,6.4%,Tuolumne,2021-03-24,2021-03-23,2021-03-25 06:27:53
0.2%,5.2%,0.9%,27.6%,16.9%,0.3%,33.8%,10.4%,4.8%,Ventura,2021-03-24,2021-03-23,2021-03-25 06:27:56
0.4%,6.3%,1.0%,12.8%,7.8%,0.3%,31.6%,9.2%,30.5%,Yolo,2021-03-24,2021-03-23,2021-03-25 06:27:58
1.2%,4.2%,2.0%,17.1%,9.9%,0.3%,49.5%,4.7%,11.2%,Yuba,2021-03-24,2021-03-23,2021-03-25 06:28:01
