Female,Male,Unknown/undifferentiated,County,Date Updated,Date Data,Date Scraped
57.3%,42.3%,0.3%,Alameda,2021-03-23,2021-03-22,2021-03-24 02:37:26
46.9%,52.6%,0.5%,Alpine,2021-03-23,2021-03-22,2021-03-24 02:37:30
56.1%,43.8%,0.1%,Amador,2021-03-23,2021-03-22,2021-03-24 02:37:33
57.3%,42.7%,0.1%,Butte,2021-03-23,2021-03-22,2021-03-24 02:37:37
55.1%,44.2%,0.8%,Calaveras,2021-03-23,2021-03-22,2021-03-24 02:37:41
51.7%,46.3%,2%,Colusa,2021-03-23,2021-03-22,2021-03-24 02:37:44
57.6%,42.3%,0.1%,Contra Costa,2021-03-23,2021-03-22,2021-03-24 02:37:48
53.7%,46.2%,0.1%,Del Norte,2021-03-23,2021-03-22,2021-03-24 02:37:51
55.7%,44.2%,0.1%,El Dorado,2021-03-23,2021-03-22,2021-03-24 02:37:55
56.1%,43.8%,0.1%,Fresno,2021-03-23,2021-03-22,2021-03-24 02:37:58
56.9%,42.9%,0.1%,Glenn,2021-03-23,2021-03-22,2021-03-24 02:38:02
58.5%,41.4%,0.1%,Humboldt,2021-03-23,2021-03-22,2021-03-24 02:38:05
54.8%,45.1%,0%,Imperial,2021-03-23,2021-03-22,2021-03-24 02:38:08
53.6%,46.3%,0.1%,Inyo,2021-03-23,2021-03-22,2021-03-24 02:38:12
55.6%,43.8%,0.6%,Kern,2021-03-23,2021-03-22,2021-03-24 02:38:15
55%,44.6%,0.4%,Kings,2021-03-23,2021-03-22,2021-03-24 02:38:18
54.5%,45.4%,0.1%,Lake,2021-03-23,2021-03-22,2021-03-24 02:38:21
52.7%,47.1%,0.1%,Lassen,2021-03-23,2021-03-22,2021-03-24 02:38:25
56.4%,43.4%,0.2%,Los Angeles,2021-03-23,2021-03-22,2021-03-24 02:38:28
55.1%,44.9%,0.1%,Madera,2021-03-23,2021-03-22,2021-03-24 02:38:32
56.8%,43.1%,0.1%,Marin,2021-03-23,2021-03-22,2021-03-24 02:38:35
53.6%,46.1%,0.4%,Mariposa,2021-03-23,2021-03-22,2021-03-24 02:38:38
54.1%,45.1%,0.8%,Mendocino,2021-03-23,2021-03-22,2021-03-24 02:38:42
55.5%,44.1%,0.4%,Merced,2021-03-23,2021-03-22,2021-03-24 02:38:45
52.6%,47.4%,0%,Modoc,2021-03-23,2021-03-20,2021-03-24 02:38:49
47.5%,52.5%,0%,Mono,2021-03-23,2021-03-22,2021-03-24 02:38:52
54.9%,41.9%,3.2%,Monterey,2021-03-23,2021-03-22,2021-03-24 02:38:55
53.5%,46.4%,0.1%,Napa,2021-03-23,2021-03-22,2021-03-24 02:38:59
56.9%,43%,0.1%,Nevada,2021-03-23,2021-03-22,2021-03-24 02:39:02
56.2%,42.8%,1%,Orange,2021-03-23,2021-03-22,2021-03-24 02:39:06
57.4%,42.5%,0.1%,Placer,2021-03-23,2021-03-22,2021-03-24 02:39:09
54.4%,45.5%,0%,Plumas,2021-03-23,2021-03-22,2021-03-24 02:39:13
55.8%,44.2%,0.1%,Riverside,2021-03-23,2021-03-22,2021-03-24 02:39:16
57.6%,42.2%,0.2%,Sacramento,2021-03-23,2021-03-22,2021-03-24 02:39:20
57%,42.7%,0.4%,San Benito,2021-03-23,2021-03-22,2021-03-24 02:39:23
57.5%,42.4%,0.1%,San Bernardino,2021-03-23,2021-03-22,2021-03-24 02:39:27
57.6%,41.7%,0.8%,San Diego,2021-03-23,2021-03-22,2021-03-24 02:39:30
53.3%,46.4%,0.3%,San Francisco,2021-03-23,2021-03-22,2021-03-24 02:39:33
57%,42.3%,0.7%,San Joaquin,2021-03-23,2021-03-22,2021-03-24 02:39:37
56.8%,43.1%,0.1%,San Luis Obispo,2021-03-23,2021-03-22,2021-03-24 02:39:40
57.1%,42.8%,0.1%,San Mateo,2021-03-23,2021-03-22,2021-03-24 02:39:44
56.9%,43%,0.1%,Santa Barbara,2021-03-23,2021-03-22,2021-03-24 02:39:47
57.3%,42.6%,0.1%,Santa Clara,2021-03-23,2021-03-22,2021-03-24 02:39:50
57.2%,42.4%,0.4%,Santa Cruz,2021-03-23,2021-03-22,2021-03-24 02:39:54
57.5%,42.4%,0.1%,Shasta,2021-03-23,2021-03-22,2021-03-24 02:39:57
52.2%,47.6%,0.2%,Sierra,2021-03-23,2021-03-18,2021-03-24 02:40:01
55.5%,44.5%,0%,Siskiyou,2021-03-23,2021-03-22,2021-03-24 02:40:05
57.6%,42.3%,0.2%,Solano,2021-03-23,2021-03-22,2021-03-24 02:40:08
57%,42.9%,0.1%,Sonoma,2021-03-23,2021-03-22,2021-03-24 02:40:12
56.6%,43%,0.4%,Stanislaus,2021-03-23,2021-03-22,2021-03-24 02:40:15
56%,43.5%,0.5%,Sutter,2021-03-23,2021-03-22,2021-03-24 02:40:19
56.1%,43.9%,0%,Tehama,2021-03-23,2021-03-22,2021-03-24 02:40:22
50.5%,49.4%,0.2%,Trinity,2021-03-23,2021-03-21,2021-03-24 02:40:25
55.2%,44.8%,0.1%,Tulare,2021-03-23,2021-03-22,2021-03-24 02:40:29
55%,44.9%,0.1%,Tuolumne,2021-03-23,2021-03-22,2021-03-24 02:40:32
56.3%,43.7%,0%,Ventura,2021-03-23,2021-03-22,2021-03-24 02:40:35
55.4%,40.6%,4%,Yolo,2021-03-23,2021-03-22,2021-03-24 02:40:39
57.5%,42.2%,0.3%,Yuba,2021-03-23,2021-03-22,2021-03-24 02:40:42
