0-17,18-49,50-64,65+,County,Date Updated,Date Data,Date Scraped
0.4%,41.7%,23.0%,34.9%,Alameda,2021-03-29,2021-03-28,2021-03-30 00:56:17
0.1%,34.7%,33.9%,31.3%,Alpine,2021-03-29,2021-03-25,2021-03-30 00:56:19
0.1%,17.8%,23.5%,58.6%,Amador,2021-03-29,2021-03-28,2021-03-30 00:56:21
0.2%,31.5%,23.9%,44.4%,Butte,2021-03-29,2021-03-28,2021-03-30 00:56:23
0.3%,15.7%,22.0%,62.0%,Calaveras,2021-03-29,2021-03-28,2021-03-30 00:56:26
0.1%,35.2%,24.2%,40.5%,Colusa,2021-03-29,2021-03-28,2021-03-30 00:56:28
0.5%,33.9%,26.3%,39.2%,Contra Costa,2021-03-29,2021-03-28,2021-03-30 00:56:30
0.1%,24.2%,25.2%,50.5%,Del Norte,2021-03-29,2021-03-28,2021-03-30 00:56:33
0.4%,24.2%,25.0%,50.4%,El Dorado,2021-03-29,2021-03-28,2021-03-30 00:56:35
0.4%,40.3%,25.2%,34.1%,Fresno,2021-03-29,2021-03-28,2021-03-30 00:56:38
0.2%,30.3%,24.9%,44.5%,Glenn,2021-03-29,2021-03-28,2021-03-30 00:56:40
0.1%,33.8%,19.8%,46.4%,Humboldt,2021-03-29,2021-03-28,2021-03-30 00:56:42
0.2%,39.0%,23.3%,37.6%,Imperial,2021-03-29,2021-03-28,2021-03-30 00:56:44
0.3%,27.6%,21.6%,50.5%,Inyo,2021-03-29,2021-03-28,2021-03-30 00:56:47
0.6%,39.2%,25.0%,35.2%,Kern,2021-03-29,2021-03-28,2021-03-30 00:56:49
0.4%,42.3%,27.7%,29.7%,Kings,2021-03-29,2021-03-28,2021-03-30 00:56:51
0.2%,24.1%,23.8%,51.8%,Lake,2021-03-29,2021-03-28,2021-03-30 00:56:54
0.1%,22.8%,25.3%,51.8%,Lassen,2021-03-29,2021-03-28,2021-03-30 00:56:56
0.4%,41.2%,24.1%,34.3%,Los Angeles,2021-03-29,2021-03-28,2021-03-30 00:56:58
0.3%,34.1%,25.2%,40.5%,Madera,2021-03-29,2021-03-28,2021-03-30 00:57:01
0.9%,30.7%,25.2%,43.1%,Marin,2021-03-29,2021-03-28,2021-03-30 00:57:03
0.1%,18.3%,22.9%,58.6%,Mariposa,2021-03-29,2021-03-27,2021-03-30 00:57:06
0.6%,33.4%,24.3%,41.6%,Mendocino,2021-03-29,2021-03-28,2021-03-30 00:57:08
0.5%,38.7%,25.5%,35.4%,Merced,2021-03-29,2021-03-28,2021-03-30 00:57:10
0.1%,19.1%,25.4%,55.4%,Modoc,2021-03-29,2021-03-26,2021-03-30 00:57:13
1.4%,45.3%,28.4%,24.8%,Mono,2021-03-29,2021-03-27,2021-03-30 00:57:15
0.3%,40.6%,23.0%,36.1%,Monterey,2021-03-29,2021-03-28,2021-03-30 00:57:18
0.3%,36.0%,23.4%,40.3%,Napa,2021-03-29,2021-03-28,2021-03-30 00:57:20
0.4%,22.1%,20.8%,56.7%,Nevada,2021-03-29,2021-03-28,2021-03-30 00:57:23
0.4%,37.1%,24.0%,38.5%,Orange,2021-03-29,2021-03-28,2021-03-30 00:57:25
0.5%,28.4%,22.4%,48.7%,Placer,2021-03-29,2021-03-28,2021-03-30 00:57:28
0.1%,20.0%,20.0%,59.8%,Plumas,2021-03-29,2021-03-27,2021-03-30 00:57:30
0.3%,32.1%,24.1%,43.5%,Riverside,2021-03-29,2021-03-28,2021-03-30 00:57:33
0.4%,37.0%,24.3%,38.2%,Sacramento,2021-03-29,2021-03-28,2021-03-30 00:57:35
0.2%,38.3%,24.7%,36.8%,San Benito,2021-03-29,2021-03-28,2021-03-30 00:57:38
0.5%,37.3%,24.9%,37.3%,San Bernardino,2021-03-29,2021-03-28,2021-03-30 00:57:40
0.4%,36.3%,21.3%,42.0%,San Diego,2021-03-29,2021-03-28,2021-03-30 00:57:43
0.3%,45.1%,22.5%,32.0%,San Francisco,2021-03-29,2021-03-28,2021-03-30 00:57:45
0.5%,36.0%,25.8%,37.7%,San Joaquin,2021-03-29,2021-03-28,2021-03-30 00:57:48
0.2%,27.1%,19.4%,53.3%,San Luis Obispo,2021-03-29,2021-03-28,2021-03-30 00:57:50
0.5%,38.4%,23.5%,37.6%,San Mateo,2021-03-29,2021-03-28,2021-03-30 00:57:53
0.2%,34.6%,20.4%,44.8%,Santa Barbara,2021-03-29,2021-03-28,2021-03-30 00:57:55
0.5%,37.7%,23.5%,38.4%,Santa Clara,2021-03-29,2021-03-28,2021-03-30 00:57:58
0.4%,35.6%,22.6%,41.4%,Santa Cruz,2021-03-29,2021-03-28,2021-03-30 00:58:00
0.3%,23.8%,22.5%,53.5%,Shasta,2021-03-29,2021-03-28,2021-03-30 00:58:03
0.0%,20.6%,27.8%,51.7%,Sierra,2021-03-29,2021-03-27,2021-03-30 00:58:05
0.4%,21.9%,22.9%,54.8%,Siskiyou,2021-03-29,2021-03-28,2021-03-30 00:58:08
0.3%,33.5%,26.1%,40.1%,Solano,2021-03-29,2021-03-28,2021-03-30 00:58:10
0.4%,32.6%,23.7%,43.3%,Sonoma,2021-03-29,2021-03-28,2021-03-30 00:58:13
0.6%,35.0%,25.9%,38.5%,Stanislaus,2021-03-29,2021-03-28,2021-03-30 00:58:15
0.2%,31.5%,25.6%,42.7%,Sutter,2021-03-29,2021-03-28,2021-03-30 00:58:18
0.1%,24.8%,24.9%,50.2%,Tehama,2021-03-29,2021-03-28,2021-03-30 00:58:20
0.1%,19.6%,22.0%,58.3%,Trinity,2021-03-29,2021-03-28,2021-03-30 00:58:22
0.6%,41.5%,25.9%,32.1%,Tulare,2021-03-29,2021-03-28,2021-03-30 00:58:25
0.2%,19.1%,24.9%,55.8%,Tuolumne,2021-03-29,2021-03-28,2021-03-30 00:58:27
0.5%,35.7%,23.3%,40.5%,Ventura,2021-03-29,2021-03-28,2021-03-30 00:58:30
